pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Galarian Slowbro,144,move,1,Shell Side Arm,85.9%,,,,,,,,,13135.50
Galarian Slowbro,144,move,2,Psychic,51.9%,,,,,,,,,13135.50
Galarian Slowbro,144,move,3,Trick Room,37.6%,,,,,,,,,13135.50
Galarian Slowbro,144,move,4,Ice Beam,34.8%,,,,,,,,,13135.50
Galarian Slowbro,144,move,5,Protect,30.2%,,,,,,,,,13135.50
Galarian Slowbro,144,move,6,Flamethrower,14.9%,,,,,,,,,13142.76
Galarian Slowbro,144,move,7,Power Gem,11.3%,,,,,,,,,13142.76
Galarian Slowbro,144,move,8,Expanding Force,9.4%,,,,,,,,,13142.76
Galarian Slowbro,144,move,9,Heal Pulse,7.5%,,,,,,,,,13142.76
Galarian Slowbro,144,move,10,Slack Off,6.3%,,,,,,,,,13142.76
Galarian Slowbro,144,held_item,1,Quick Claw,52.1%,,,,,,,,,13146.33
Galarian Slowbro,144,held_item,2,Sitrus Berry,10.8%,,,,,,,,,13146.33
Galarian Slowbro,144,held_item,3,Leftovers,9.7%,,,,,,,,,13146.33
Galarian Slowbro,144,held_item,4,Life Orb,6.9%,,,,,,,,,13146.33
Galarian Slowbro,144,held_item,5,Focus Sash,2.8%,,,,,,,,,13146.33
Galarian Slowbro,144,held_item,6,Colbur Berry,2.0%,,,,,,,,,13153.60
Galarian Slowbro,144,held_item,7,Expert Belt,2.0%,,,,,,,,,13153.60
Galarian Slowbro,144,held_item,8,Shuca Berry,1.8%,,,,,,,,,13153.60
Galarian Slowbro,144,held_item,9,Mental Herb,1.7%,,,,,,,,,13153.60
Galarian Slowbro,144,held_item,10,Poison Barb,1.5%,,,,,,,,,13153.60
Galarian Slowbro,144,teammate,1,Farigiraf,,,,,,,,,,13160.12
Galarian Slowbro,144,teammate,2,Sinistcha,,,,,,,,,,13160.12
Galarian Slowbro,144,teammate,3,Torkoal,,,,,,,,,,13160.12
Galarian Slowbro,144,teammate,4,Incineroar,,,,,,,,,,13160.12
Galarian Slowbro,144,teammate,5,Sylveon,,,,,,,,,,13160.12
Galarian Slowbro,144,teammate,6,Kingambit,,,,,,,,,,13163.04
Galarian Slowbro,144,teammate,7,Whimsicott,,,,,,,,,,13163.04
Galarian Slowbro,144,teammate,8,Garchomp,,,,,,,,,,13163.04
Galarian Slowbro,144,teammate,9,Tyranitar,,,,,,,,,,13163.04
Galarian Slowbro,144,teammate,10,Raichu,,,,,,,,,,13163.04
Galarian Slowbro,144,stat_alignment,1,Quiet,42.2%,Sp. Atk,Speed,,,,,,,13165.12
Galarian Slowbro,144,stat_alignment,2,Modest,21.8%,Sp. Atk,Attack,,,,,,,13165.12
Galarian Slowbro,144,stat_alignment,3,Relaxed,12.1%,Defense,Speed,,,,,,,13165.12
Galarian Slowbro,144,stat_alignment,4,Sassy,8.4%,Sp. Def,Speed,,,,,,,13165.12
Galarian Slowbro,144,stat_alignment,5,Brave,3.2%,Attack,Speed,,,,,,,13165.12
Galarian Slowbro,144,stat_alignment,6,Calm,3.1%,Sp. Def,Attack,,,,,,,13168.18
Galarian Slowbro,144,stat_alignment,7,Bold,2.6%,Defense,Attack,,,,,,,13168.18
Galarian Slowbro,144,stat_alignment,8,Adamant,1.5%,Attack,Sp. Atk,,,,,,,13168.18
Galarian Slowbro,144,stat_alignment,9,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,,13168.18
Galarian Slowbro,144,stat_alignment,10,Impish,0.5%,Defense,Sp. Atk,,,,,,,13168.18
Galarian Slowbro,144,stat_points,1,,20.5%,,,32,0,0,32,2,0,13170.41
Galarian Slowbro,144,stat_points,2,,10.8%,,,32,0,2,32,0,0,13170.41
Galarian Slowbro,144,stat_points,3,,5.3%,,,2,0,32,32,0,0,13170.41
Galarian Slowbro,144,stat_points,4,,4.6%,,,0,0,2,32,32,0,13170.41
Galarian Slowbro,144,stat_points,5,,3.5%,,,2,0,0,32,32,0,13170.41
Galarian Slowbro,144,stat_points,6,,1.7%,,,32,0,32,0,2,0,13192.49
Galarian Slowbro,144,stat_points,7,,1.5%,,,2,0,32,0,32,0,13192.49
Galarian Slowbro,144,stat_points,8,,1.0%,,,32,0,0,2,32,0,13192.49
Galarian Slowbro,144,ability,1,Quick Draw,76.4%,,,,,,,,,13206.22
Galarian Slowbro,144,ability,2,Regenerator,17.8%,,,,,,,,,13206.22
Galarian Slowbro,144,ability,3,Own Tempo,5.8%,,,,,,,,,13206.22
