pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Swampert,14,move,1,Protect,91.3%,,,,,,,,
Swampert,14,move,2,Wave Crash,90.1%,,,,,,,,
Swampert,14,move,3,Ice Punch,78.6%,,,,,,,,
Swampert,14,move,4,Earthquake,70.1%,,,,,,,,
Swampert,14,move,5,High Horsepower,29.9%,,,,,,,,
Swampert,14,move,6,Flip Turn,7.7%,,,,,,,,
Swampert,14,move,7,Liquidation,6.4%,,,,,,,,
Swampert,14,move,8,Rock Slide,6.2%,,,,,,,,
Swampert,14,move,9,Knock Off,3.0%,,,,,,,,
Swampert,14,move,10,Waterfall,2.4%,,,,,,,,
Swampert,14,held_item,1,Swampertite,96.6%,,,,,,,,
Swampert,14,held_item,2,Leftovers,0.6%,,,,,,,,
Swampert,14,held_item,3,Sitrus Berry,0.5%,,,,,,,,
Swampert,14,held_item,4,Life Orb,0.5%,,,,,,,,
Swampert,14,held_item,5,Rindo Berry,0.4%,,,,,,,,
Swampert,14,held_item,6,Expert Belt,0.2%,,,,,,,,
Swampert,14,held_item,7,Quick Claw,0.2%,,,,,,,,
Swampert,14,held_item,8,Mystic Water,0.1%,,,,,,,,
Swampert,14,held_item,9,Focus Sash,0.1%,,,,,,,,
Swampert,14,held_item,10,Choice Scarf,0.1%,,,,,,,,
Swampert,14,teammate,1,Pelipper,,,,,,,,,
Swampert,14,teammate,2,Archaludon,,,,,,,,,
Swampert,14,teammate,3,Sinistcha,,,,,,,,,
Swampert,14,teammate,4,Sableye,,,,,,,,,
Swampert,14,teammate,5,Grimmsnarl,,,,,,,,,
Swampert,14,teammate,6,Basculegion,,,,,,,,,
Swampert,14,teammate,7,Metagross,,,,,,,,,
Swampert,14,teammate,8,Sneasler,,,,,,,,,
Swampert,14,teammate,9,Incineroar,,,,,,,,,
Swampert,14,teammate,10,Venusaur,,,,,,,,,
Swampert,14,stat_alignment,1,Adamant,86.8%,Attack,Sp. Atk,,,,,,
Swampert,14,stat_alignment,2,Jolly,7.9%,Speed,Sp. Atk,,,,,,
Swampert,14,stat_alignment,3,Brave,1.5%,Attack,Speed,,,,,,
Swampert,14,stat_alignment,4,Impish,0.6%,Defense,Sp. Atk,,,,,,
Swampert,14,stat_alignment,5,Naughty,0.6%,Attack,Sp. Def,,,,,,
Swampert,14,stat_alignment,6,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Swampert,14,stat_alignment,7,Lonely,0.5%,Attack,Defense,,,,,,
Swampert,14,stat_alignment,8,Modest,0.3%,Sp. Atk,Attack,,,,,,
Swampert,14,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Swampert,14,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Swampert,14,stat_points,1,,29.5%,,,2,32,0,0,0,32
Swampert,14,stat_points,2,,9.9%,,,18,30,0,0,0,18
Swampert,14,stat_points,3,,5.9%,,,12,32,0,0,0,22
Swampert,14,stat_points,4,,2.8%,,,0,32,2,0,0,32
Swampert,14,stat_points,5,,2.5%,,,20,32,0,0,1,13
Swampert,14,stat_points,6,,2.4%,,,0,32,0,0,2,32
Swampert,14,stat_points,7,,2.2%,,,32,32,0,0,0,2
Swampert,14,stat_points,8,,1.7%,,,14,32,0,0,0,20
Swampert,14,stat_points,9,,1.7%,,,32,32,2,0,0,0
Swampert,14,stat_points,10,,1.6%,,,32,32,0,0,2,0
Swampert,14,ability,1,Torrent,60.2%,,,,,,,,
Swampert,14,ability,2,Damp,39.8%,,,,,,,,
