pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Beedrill,181,move,1,Poison Jab,94.5%,,,,,,,,
Beedrill,181,move,2,U-turn,76.4%,,,,,,,,
Beedrill,181,move,3,Drill Run,74.9%,,,,,,,,
Beedrill,181,move,4,Fell Stinger,56.9%,,,,,,,,
Beedrill,181,move,5,Knock Off,36.7%,,,,,,,,
Beedrill,181,move,6,Lunge,11.9%,,,,,,,,
Beedrill,181,move,7,Swords Dance,8.0%,,,,,,,,
Beedrill,181,move,8,Pin Missile,6.3%,,,,,,,,
Beedrill,181,move,9,Brick Break,5.2%,,,,,,,,
Beedrill,181,move,10,Protect,5.1%,,,,,,,,
Beedrill,181,held_item,1,Beedrillite,97.4%,,,,,,,,
Beedrill,181,held_item,2,Focus Sash,2.2%,,,,,,,,
Beedrill,181,held_item,3,Scope Lens,0.1%,,,,,,,,
Beedrill,181,held_item,4,Life Orb,0.1%,,,,,,,,
Beedrill,181,held_item,5,Choice Scarf,0.0%,,,,,,,,
Beedrill,181,teammate,1,Garchomp,,,,,,,,,
Beedrill,181,teammate,2,Volcarona,,,,,,,,,
Beedrill,181,teammate,3,Corviknight,,,,,,,,,
Beedrill,181,teammate,4,Primarina,,,,,,,,,
Beedrill,181,teammate,5,Kleavor,,,,,,,,,
Beedrill,181,teammate,6,Golisopod,,,,,,,,,
Beedrill,181,teammate,7,Araquanid,,,,,,,,,
Beedrill,181,teammate,8,Hydreigon,,,,,,,,,
Beedrill,181,teammate,9,Salamence,,,,,,,,,
Beedrill,181,teammate,10,Archaludon,,,,,,,,,
Beedrill,181,stat_alignment,1,Jolly,84.5%,Speed,Sp. Atk,,,,,,
Beedrill,181,stat_alignment,2,Adamant,13.3%,Attack,Sp. Atk,,,,,,
Beedrill,181,stat_alignment,3,Naive,1.0%,Speed,Sp. Def,,,,,,
Beedrill,181,stat_alignment,4,Lonely,0.4%,Attack,Defense,,,,,,
Beedrill,181,stat_alignment,5,Hasty,0.3%,Speed,Defense,,,,,,
Beedrill,181,stat_alignment,6,Impish,0.3%,Defense,Sp. Atk,,,,,,
Beedrill,181,stat_alignment,7,Naughty,0.2%,Attack,Sp. Def,,,,,,
Beedrill,181,stat_alignment,8,Modest,0.0%,Sp. Atk,Attack,,,,,,
Beedrill,181,stat_alignment,9,Brave,0.0%,Attack,Speed,,,,,,
Beedrill,181,stat_alignment,10,Careful,0.0%,Sp. Def,Sp. Atk,,,,,,
Beedrill,181,stat_points,1,,51.9%,,,2,32,0,0,0,32
Beedrill,181,stat_points,2,,10.3%,,,1,32,1,0,0,32
Beedrill,181,stat_points,3,,7.7%,,,1,32,0,0,1,32
Beedrill,181,stat_points,4,,6.8%,,,0,32,0,0,2,32
Beedrill,181,stat_points,5,,4.9%,,,0,32,2,0,0,32
Beedrill,181,stat_points,6,,1.8%,,,3,32,0,0,0,31
Beedrill,181,stat_points,7,,1.4%,,,1,32,2,0,0,31
Beedrill,181,stat_points,8,,1.2%,,,0,32,4,0,0,30
Beedrill,181,stat_points,9,,1.0%,,,16,32,0,0,0,18
Beedrill,181,stat_points,10,,0.9%,,,0,32,0,0,0,32
Beedrill,181,ability,1,Swarm,59.0%,,,,,,,,
Beedrill,181,ability,2,Sniper,41.0%,,,,,,,,
