pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sceptile,118,move,1,Earth Power,81.7%,,,,,,,,
Sceptile,118,move,2,Dragon Pulse,80.4%,,,,,,,,
Sceptile,118,move,3,Leaf Storm,73.3%,,,,,,,,
Sceptile,118,move,4,Shed Tail,59.0%,,,,,,,,
Sceptile,118,move,5,Vacuum Wave,24.5%,,,,,,,,
Sceptile,118,move,6,Energy Ball,21.3%,,,,,,,,
Sceptile,118,move,7,Endeavor,13.6%,,,,,,,,
Sceptile,118,move,8,Focus Blast,9.5%,,,,,,,,
Sceptile,118,move,9,Substitute,7.9%,,,,,,,,
Sceptile,118,move,10,Giga Drain,4.4%,,,,,,,,
Sceptile,118,held_item,1,Sceptilite,66.6%,,,,,,,,
Sceptile,118,held_item,2,Focus Sash,9.6%,,,,,,,,
Sceptile,118,held_item,3,White Herb,5.7%,,,,,,,,
Sceptile,118,held_item,4,Sitrus Berry,5.3%,,,,,,,,
Sceptile,118,held_item,5,Life Orb,4.4%,,,,,,,,
Sceptile,118,held_item,6,Unknown Item 542,2.8%,,,,,,,,
Sceptile,118,held_item,7,Choice Scarf,2.0%,,,,,,,,
Sceptile,118,held_item,8,Psychic Seed,1.2%,,,,,,,,
Sceptile,118,held_item,9,Expert Belt,0.3%,,,,,,,,
Sceptile,118,held_item,10,Unknown Item 157,0.3%,,,,,,,,
Sceptile,118,teammate,1,Garchomp,,,,,,,,,
Sceptile,118,teammate,2,Salamence,,,,,,,,,
Sceptile,118,teammate,3,Primarina,,,,,,,,,
Sceptile,118,teammate,4,Golisopod,,,,,,,,,
Sceptile,118,teammate,5,Archaludon,,,,,,,,,
Sceptile,118,teammate,6,Hippowdon,,,,,,,,,
Sceptile,118,teammate,7,Blaziken,,,,,,,,,
Sceptile,118,teammate,8,Mimikyu,,,,,,,,,
Sceptile,118,teammate,9,Baxcalibur,,,,,,,,,
Sceptile,118,teammate,10,Cinderace,,,,,,,,,
Sceptile,118,stat_alignment,1,Timid,64.2%,Speed,Attack,,,,,,
Sceptile,118,stat_alignment,2,Modest,25.2%,Sp. Atk,Attack,,,,,,
Sceptile,118,stat_alignment,3,Naive,3.1%,Speed,Sp. Def,,,,,,
Sceptile,118,stat_alignment,4,Hasty,2.3%,Speed,Defense,,,,,,
Sceptile,118,stat_alignment,5,Mild,1.3%,Sp. Atk,Defense,,,,,,
Sceptile,118,stat_alignment,6,Jolly,1.2%,Speed,Sp. Atk,,,,,,
Sceptile,118,stat_alignment,7,Adamant,0.9%,Attack,Sp. Atk,,,,,,
Sceptile,118,stat_alignment,8,Rash,0.6%,Sp. Atk,Sp. Def,,,,,,
Sceptile,118,stat_alignment,9,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Sceptile,118,stat_alignment,10,Lonely,0.3%,Attack,Defense,,,,,,
Sceptile,118,stat_points,1,,63.2%,,,2,0,0,32,0,32
Sceptile,118,stat_points,2,,4.7%,,,0,0,2,32,0,32
Sceptile,118,stat_points,3,,2.8%,,,0,0,0,32,2,32
Sceptile,118,stat_points,4,,2.7%,,,1,0,1,32,0,32
Sceptile,118,stat_points,5,,2.7%,,,0,0,0,32,0,32
Sceptile,118,stat_points,6,,1.6%,,,1,0,0,32,1,32
Sceptile,118,stat_points,7,,1.4%,,,9,0,0,25,0,32
Sceptile,118,stat_points,8,,1.3%,,,0,2,0,32,0,32
Sceptile,118,stat_points,9,,1.2%,,,2,0,0,32,1,31
Sceptile,118,stat_points,10,,1.0%,,,3,0,0,32,0,31
Sceptile,118,ability,1,Overgrow,73.1%,,,,,,,,
Sceptile,118,ability,2,Unburden,26.9%,,,,,,,,
