pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Skarmory,77,move,1,Roost,63.3%,,,,,,,,
Skarmory,77,move,2,Stealth Rock,50.2%,,,,,,,,
Skarmory,77,move,3,Whirlwind,41.4%,,,,,,,,
Skarmory,77,move,4,Body Press,38.9%,,,,,,,,
Skarmory,77,move,5,Brave Bird,34.9%,,,,,,,,
Skarmory,77,move,6,Iron Head,34.6%,,,,,,,,
Skarmory,77,move,7,Iron Defense,26.7%,,,,,,,,
Skarmory,77,move,8,Swords Dance,25.8%,,,,,,,,
Skarmory,77,move,9,Drill Run,24.7%,,,,,,,,
Skarmory,77,move,10,Spikes,18.0%,,,,,,,,
Skarmory,77,held_item,1,Skarmorite,33.4%,,,,,,,,
Skarmory,77,held_item,2,Sitrus Berry,26.9%,,,,,,,,
Skarmory,77,held_item,3,Leftovers,23.8%,,,,,,,,
Skarmory,77,held_item,4,Mental Herb,4.5%,,,,,,,,
Skarmory,77,held_item,5,Lum Berry,2.7%,,,,,,,,
Skarmory,77,held_item,6,Bright Powder,2.6%,,,,,,,,
Skarmory,77,held_item,7,Quick Claw,1.0%,,,,,,,,
Skarmory,77,held_item,8,Occa Berry,0.8%,,,,,,,,
Skarmory,77,held_item,9,Black Belt,0.5%,,,,,,,,
Skarmory,77,held_item,10,Focus Sash,0.5%,,,,,,,,
Skarmory,77,teammate,1,Garchomp,,,,,,,,,
Skarmory,77,teammate,2,Meowscarada,,,,,,,,,
Skarmory,77,teammate,3,Blaziken,,,,,,,,,
Skarmory,77,teammate,4,Dragalge,,,,,,,,,
Skarmory,77,teammate,5,Mimikyu,,,,,,,,,
Skarmory,77,teammate,6,Primarina,,,,,,,,,
Skarmory,77,teammate,7,Skeledirge,,,,,,,,,
Skarmory,77,teammate,8,Hippowdon,,,,,,,,,
Skarmory,77,teammate,9,Delphox,,,,,,,,,
Skarmory,77,teammate,10,Bellibolt,,,,,,,,,
Skarmory,77,stat_alignment,1,Impish,52.8%,Defense,Sp. Atk,,,,,,
Skarmory,77,stat_alignment,2,Jolly,17.4%,Speed,Sp. Atk,,,,,,
Skarmory,77,stat_alignment,3,Adamant,14.5%,Attack,Sp. Atk,,,,,,
Skarmory,77,stat_alignment,4,Careful,6.5%,Sp. Def,Sp. Atk,,,,,,
Skarmory,77,stat_alignment,5,Bold,3.1%,Defense,Attack,,,,,,
Skarmory,77,stat_alignment,6,Relaxed,1.1%,Defense,Speed,,,,,,
Skarmory,77,stat_alignment,7,Calm,1.0%,Sp. Def,Attack,,,,,,
Skarmory,77,stat_alignment,8,Brave,0.3%,Attack,Speed,,,,,,
Skarmory,77,stat_alignment,9,Naughty,0.3%,Attack,Sp. Def,,,,,,
Skarmory,77,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Skarmory,77,stat_points,1,,22.8%,,,32,0,32,0,2,0
Skarmory,77,stat_points,2,,10.1%,,,32,0,32,0,0,2
Skarmory,77,stat_points,3,,6.4%,,,2,32,0,0,0,32
Skarmory,77,stat_points,4,,4.1%,,,32,0,2,0,32,0
Skarmory,77,stat_points,5,,3.5%,,,31,0,32,0,3,0
Skarmory,77,stat_points,6,,2.3%,,,32,0,20,0,14,0
Skarmory,77,stat_points,7,,1.8%,,,32,0,32,0,0,0
Skarmory,77,stat_points,8,,1.6%,,,31,0,32,0,0,3
Skarmory,77,ability,1,Sturdy,74.3%,,,,,,,,
Skarmory,77,ability,2,Weak Armor,23.2%,,,,,,,,
Skarmory,77,ability,3,Keen Eye,2.5%,,,,,,,,
