pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gallade,80,move,1,Sacred Sword,93.0%,,,,,,,,
Gallade,80,move,2,Psycho Cut,79.7%,,,,,,,,
Gallade,80,move,3,Leaf Blade,72.6%,,,,,,,,
Gallade,80,move,4,Shadow Sneak,49.1%,,,,,,,,
Gallade,80,move,5,Triple Axel,20.6%,,,,,,,,
Gallade,80,move,6,Night Slash,19.2%,,,,,,,,
Gallade,80,move,7,Shadow Claw,10.2%,,,,,,,,
Gallade,80,move,8,Swords Dance,7.3%,,,,,,,,
Gallade,80,move,9,Aqua Cutter,4.6%,,,,,,,,
Gallade,80,move,10,Close Combat,3.8%,,,,,,,,
Gallade,80,held_item,1,Focus Sash,27.9%,,,,,,,,
Gallade,80,held_item,2,Choice Scarf,22.0%,,,,,,,,
Gallade,80,held_item,3,Galladite,16.9%,,,,,,,,
Gallade,80,held_item,4,Life Orb,9.8%,,,,,,,,
Gallade,80,held_item,5,Scope Lens,8.1%,,,,,,,,
Gallade,80,held_item,6,Lum Berry,5.2%,,,,,,,,
Gallade,80,held_item,7,Expert Belt,3.4%,,,,,,,,
Gallade,80,held_item,8,Sitrus Berry,1.4%,,,,,,,,
Gallade,80,held_item,9,Black Belt,1.1%,,,,,,,,
Gallade,80,held_item,10,Quick Claw,1.1%,,,,,,,,
Gallade,80,teammate,1,Garchomp,,,,,,,,,
Gallade,80,teammate,2,Primarina,,,,,,,,,
Gallade,80,teammate,3,Archaludon,,,,,,,,,
Gallade,80,teammate,4,Mimikyu,,,,,,,,,
Gallade,80,teammate,5,Charizard,,,,,,,,,
Gallade,80,teammate,6,Greninja,,,,,,,,,
Gallade,80,teammate,7,Meowscarada,,,,,,,,,
Gallade,80,teammate,8,Gyarados,,,,,,,,,
Gallade,80,teammate,9,Scizor,,,,,,,,,
Gallade,80,teammate,10,Metagross,,,,,,,,,
Gallade,80,stat_alignment,1,Adamant,53.3%,Attack,Sp. Atk,,,,,,
Gallade,80,stat_alignment,2,Jolly,41.3%,Speed,Sp. Atk,,,,,,
Gallade,80,stat_alignment,3,Brave,1.4%,Attack,Speed,,,,,,
Gallade,80,stat_alignment,4,Impish,1.2%,Defense,Sp. Atk,,,,,,
Gallade,80,stat_alignment,5,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Gallade,80,stat_alignment,6,Lonely,0.5%,Attack,Defense,,,,,,
Gallade,80,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Gallade,80,stat_alignment,8,Naughty,0.3%,Attack,Sp. Def,,,,,,
Gallade,80,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Gallade,80,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gallade,80,stat_points,1,,46.8%,,,2,32,0,0,0,32
Gallade,80,stat_points,2,,9.8%,,,0,32,2,0,0,32
Gallade,80,stat_points,3,,5.7%,,,0,32,0,0,2,32
Gallade,80,stat_points,4,,3.0%,,,32,25,9,0,0,0
Gallade,80,stat_points,5,,2.6%,,,32,32,2,0,0,0
Gallade,80,stat_points,6,,1.1%,,,32,32,0,0,2,0
Gallade,80,stat_points,7,,0.8%,,,32,2,0,0,0,32
Gallade,80,stat_points,8,,0.8%,,,32,25,0,0,0,9
Gallade,80,ability,1,Sharpness,93.6%,,,,,,,,
Gallade,80,ability,2,Justified,3.9%,,,,,,,,
Gallade,80,ability,3,Steadfast,2.5%,,,,,,,,
