pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Goodra,188,move,1,Protect,37.3%,,,,,,,,
Goodra,188,move,2,Draco Meteor,30.9%,,,,,,,,
Goodra,188,move,3,Dragon Pulse,29.5%,,,,,,,,
Goodra,188,move,4,Thunderbolt,26.8%,,,,,,,,
Goodra,188,move,5,Ice Beam,25.6%,,,,,,,,
Goodra,188,move,6,Flamethrower,23.3%,,,,,,,,
Goodra,188,move,7,Giga Drain,20.7%,,,,,,,,
Goodra,188,move,8,Sludge Bomb,20.2%,,,,,,,,
Goodra,188,move,9,Life Dew,16.5%,,,,,,,,
Goodra,188,move,10,Thunder,14.4%,,,,,,,,
Goodra,188,held_item,1,Leftovers,32.3%,,,,,,,,
Goodra,188,held_item,2,Sitrus Berry,14.6%,,,,,,,,
Goodra,188,held_item,3,Life Orb,8.7%,,,,,,,,
Goodra,188,held_item,4,Haban Berry,5.4%,,,,,,,,
Goodra,188,held_item,5,Expert Belt,5.0%,,,,,,,,
Goodra,188,held_item,6,Quick Claw,3.7%,,,,,,,,
Goodra,188,held_item,7,White Herb,3.2%,,,,,,,,
Goodra,188,held_item,8,Wide Lens,2.7%,,,,,,,,
Goodra,188,held_item,9,Wise Glasses,2.4%,,,,,,,,
Goodra,188,held_item,10,Shell Bell,2.4%,,,,,,,,
Goodra,188,teammate,1,Pelipper,,,,,,,,,
Goodra,188,teammate,2,Sinistcha,,,,,,,,,
Goodra,188,teammate,3,Archaludon,,,,,,,,,
Goodra,188,teammate,4,Milotic,,,,,,,,,
Goodra,188,teammate,5,Sylveon,,,,,,,,,
Goodra,188,teammate,6,Charizard,,,,,,,,,
Goodra,188,teammate,7,Staraptor,,,,,,,,,
Goodra,188,teammate,8,Swampert,,,,,,,,,
Goodra,188,teammate,9,Whimsicott,,,,,,,,,
Goodra,188,teammate,10,Incineroar,,,,,,,,,
Goodra,188,stat_alignment,1,Modest,41.0%,Sp. Atk,Attack,,,,,,
Goodra,188,stat_alignment,2,Bold,14.2%,Defense,Attack,,,,,,
Goodra,188,stat_alignment,3,Calm,9.7%,Sp. Def,Attack,,,,,,
Goodra,188,stat_alignment,4,Quiet,9.3%,Sp. Atk,Speed,,,,,,
Goodra,188,stat_alignment,5,Timid,4.4%,Speed,Attack,,,,,,
Goodra,188,stat_alignment,6,Relaxed,4.1%,Defense,Speed,,,,,,
Goodra,188,stat_alignment,7,Adamant,3.6%,Attack,Sp. Atk,,,,,,
Goodra,188,stat_alignment,8,Sassy,3.0%,Sp. Def,Speed,,,,,,
Goodra,188,stat_alignment,9,Mild,2.1%,Sp. Atk,Defense,,,,,,
Goodra,188,stat_alignment,10,Careful,1.6%,Sp. Def,Sp. Atk,,,,,,
Goodra,188,stat_points,1,,11.0%,,,32,0,2,32,0,0
Goodra,188,stat_points,2,,6.1%,,,32,0,0,32,2,0
Goodra,188,stat_points,3,,5.0%,,,2,0,32,32,0,0
Goodra,188,stat_points,4,,4.4%,,,2,0,0,32,32,0
Goodra,188,stat_points,5,,3.2%,,,0,0,32,32,2,0
Goodra,188,stat_points,6,,3.0%,,,32,0,32,0,2,0
Goodra,188,stat_points,7,,3.0%,,,2,0,0,32,0,32
Goodra,188,stat_points,8,,2.8%,,,0,0,2,32,32,0
Goodra,188,stat_points,9,,2.1%,,,0,0,2,32,0,32
Goodra,188,stat_points,10,,2.0%,,,32,0,0,32,0,2
Goodra,188,ability,1,Gooey,41.9%,,,,,,,,
Goodra,188,ability,2,Sap Sipper,41.9%,,,,,,,,
Goodra,188,ability,3,Hydration,16.2%,,,,,,,,
