pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Luxray,207,move,6,Snarl,28.4%,,,,,,,,
Luxray,207,move,7,Superpower,26.5%,,,,,,,,
Luxray,207,move,8,Psychic Fangs,22.1%,,,,,,,,
Luxray,207,move,9,Play Rough,16.6%,,,,,,,,
Luxray,207,move,10,Baby-Doll Eyes,14.5%,,,,,,,,
Luxray,207,held_item,1,Life Orb,24.6%,,,,,,,,
Luxray,207,held_item,2,Sitrus Berry,14.1%,,,,,,,,
Luxray,207,held_item,3,Shuca Berry,11.0%,,,,,,,,
Luxray,207,held_item,4,Choice Scarf,10.4%,,,,,,,,
Luxray,207,held_item,5,Focus Sash,9.3%,,,,,,,,
Luxray,207,held_item,6,Leftovers,8.8%,,,,,,,,
Luxray,207,held_item,7,Magnet,6.6%,,,,,,,,
Luxray,207,held_item,8,Quick Claw,4.7%,,,,,,,,
Luxray,207,held_item,9,Wide Lens,4.0%,,,,,,,,
Luxray,207,held_item,10,Expert Belt,3.8%,,,,,,,,
Luxray,207,teammate,1,Garchomp,,,,,,,,,
Luxray,207,teammate,2,Sinistcha,,,,,,,,,
Luxray,207,teammate,3,Charizard,,,,,,,,,
Luxray,207,teammate,4,Pelipper,,,,,,,,,
Luxray,207,teammate,5,Whimsicott,,,,,,,,,
Luxray,207,teammate,6,Sneasler,,,,,,,,,
Luxray,207,teammate,7,Farigiraf,,,,,,,,,
Luxray,207,teammate,8,Basculegion Male,,,,,,,,,
Luxray,207,teammate,9,Incineroar,,,,,,,,,
Luxray,207,teammate,10,Scizor,,,,,,,,,
Luxray,207,stat_alignment,1,Adamant,33.7%,Attack,Sp. Atk,,,,,,
Luxray,207,stat_alignment,2,Jolly,17.8%,Speed,Sp. Atk,,,,,,
Luxray,207,stat_alignment,3,Brave,9.6%,Attack,Speed,,,,,,
Luxray,207,stat_alignment,4,Modest,7.6%,Sp. Atk,Attack,,,,,,
Luxray,207,stat_alignment,5,Timid,7.0%,Speed,Attack,,,,,,
Luxray,207,stat_alignment,6,Calm,5.3%,Sp. Def,Attack,,,,,,
Luxray,207,stat_alignment,7,Sassy,4.3%,Sp. Def,Speed,,,,,,
Luxray,207,stat_alignment,8,Impish,3.4%,Defense,Sp. Atk,,,,,,
Luxray,207,stat_alignment,9,Relaxed,2.3%,Defense,Speed,,,,,,
Luxray,207,stat_alignment,10,Quiet,2.0%,Sp. Atk,Speed,,,,,,
Luxray,207,stat_points,1,,9.7%,,,2,32,0,0,0,32
Luxray,207,stat_points,2,,6.8%,,,0,32,1,0,1,32
Luxray,207,stat_points,3,,4.5%,,,2,0,0,32,0,32
Luxray,207,stat_points,4,,4.2%,,,0,32,2,0,0,32
Luxray,207,stat_points,5,,4.1%,,,32,32,2,0,0,0
Luxray,207,stat_points,6,,2.5%,,,32,32,0,0,2,0
Luxray,207,stat_points,7,,2.3%,,,0,32,0,0,2,32
Luxray,207,stat_points,8,,2.2%,,,32,32,1,0,1,0
Luxray,207,stat_points,9,,2.0%,,,0,32,32,0,2,0
Luxray,207,stat_points,10,,2.0%,,,32,0,11,0,23,0
Luxray,207,ability,1,Intimidate,89.8%,,,,,,,,
Luxray,207,ability,2,Guts,7.6%,,,,,,,,
Luxray,207,ability,3,Rivalry,2.6%,,,,,,,,
