pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Glalie,175,move,1,Protect,96.2%,,,,,,,,
Glalie,175,move,2,Explosion,95.9%,,,,,,,,
Glalie,175,move,3,Ice Shard,45.9%,,,,,,,,
Glalie,175,move,4,Taunt,39.9%,,,,,,,,
Glalie,175,move,5,Body Slam,36.0%,,,,,,,,
Glalie,175,move,6,Ice Spinner,14.3%,,,,,,,,
Glalie,175,move,7,Earthquake,11.6%,,,,,,,,
Glalie,175,move,8,Sheer Cold,7.6%,,,,,,,,
Glalie,175,move,9,Freeze-Dry,7.3%,,,,,,,,
Glalie,175,move,10,Giga Impact,6.5%,,,,,,,,
Glalie,175,held_item,1,Glalitite,95.2%,,,,,,,,
Glalie,175,held_item,2,Never-Melt Ice,1.5%,,,,,,,,
Glalie,175,held_item,3,Unknown Item 564,1.2%,,,,,,,,
Glalie,175,held_item,4,Choice Scarf,0.9%,,,,,,,,
Glalie,175,held_item,5,Life Orb,0.3%,,,,,,,,
Glalie,175,held_item,6,Bright Powder,0.3%,,,,,,,,
Glalie,175,teammate,1,Pawmot,,,,,,,,,
Glalie,175,teammate,2,Sylveon,,,,,,,,,
Glalie,175,teammate,3,Whimsicott,,,,,,,,,
Glalie,175,teammate,4,Torkoal,,,,,,,,,
Glalie,175,teammate,5,Basculegion,,,,,,,,,
Glalie,175,teammate,6,Oranguru,,,,,,,,,
Glalie,175,teammate,7,Charizard,,,,,,,,,
Glalie,175,teammate,8,Indeedee-F,,,,,,,,,
Glalie,175,teammate,9,Sneasler,,,,,,,,,
Glalie,175,teammate,10,Mudsdale,,,,,,,,,
Glalie,175,stat_alignment,1,Adamant,59.6%,Attack,Sp. Atk,,,,,,
Glalie,175,stat_alignment,2,Jolly,32.3%,Speed,Sp. Atk,,,,,,
Glalie,175,stat_alignment,3,Brave,3.5%,Attack,Speed,,,,,,
Glalie,175,stat_alignment,4,Modest,2.0%,Sp. Atk,Attack,,,,,,
Glalie,175,stat_alignment,5,Naive,1.4%,Speed,Sp. Def,,,,,,
Glalie,175,stat_alignment,6,Timid,0.7%,Speed,Attack,,,,,,
Glalie,175,stat_alignment,7,Bold,0.3%,Defense,Attack,,,,,,
Glalie,175,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Glalie,175,stat_alignment,9,Bashful,0.1%,,,,,,,,
Glalie,175,stat_points,1,,55.7%,,,2,32,0,0,0,32
Glalie,175,stat_points,2,,7.5%,,,14,32,0,0,0,20
Glalie,175,stat_points,3,,5.0%,,,0,32,0,0,0,32
Glalie,175,stat_points,4,,4.2%,,,0,32,7,0,6,21
Glalie,175,stat_points,5,,4.1%,,,0,32,17,0,17,0
Glalie,175,stat_points,6,,2.8%,,,0,32,0,0,2,32
Glalie,175,stat_points,7,,2.4%,,,0,32,2,0,0,32
Glalie,175,stat_points,8,,2.4%,,,0,32,1,0,1,32
Glalie,175,stat_points,9,,2.4%,,,32,32,0,0,2,0
Glalie,175,stat_points,10,,1.6%,,,0,32,0,0,32,2
Glalie,175,ability,1,Inner Focus,85.1%,,,,,,,,
Glalie,175,ability,2,Moody,14.5%,,,,,,,,
Glalie,175,ability,3,Ice Body,0.4%,,,,,,,,
