pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Luxray,204,move,1,Supercell Slam,68.1%,,,,,,,,
Luxray,204,move,2,Ice Fang,66.9%,,,,,,,,
Luxray,204,move,3,Volt Switch,46.8%,,,,,,,,
Luxray,204,move,4,Psychic Fangs,32.5%,,,,,,,,
Luxray,204,move,5,Superpower,26.3%,,,,,,,,
Luxray,204,move,6,Baby-Doll Eyes,22.0%,,,,,,,,
Luxray,204,move,7,Wild Charge,18.1%,,,,,,,,
Luxray,204,move,8,Quick Attack,16.2%,,,,,,,,
Luxray,204,move,9,Thunder Wave,14.6%,,,,,,,,
Luxray,204,move,10,Play Rough,12.9%,,,,,,,,
Luxray,204,held_item,1,Sitrus Berry,30.5%,,,,,,,,
Luxray,204,held_item,2,Shuca Berry,17.9%,,,,,,,,
Luxray,204,held_item,3,Choice Scarf,12.6%,,,,,,,,
Luxray,204,held_item,4,Life Orb,10.8%,,,,,,,,
Luxray,204,held_item,5,Leftovers,4.6%,,,,,,,,
Luxray,204,held_item,6,Expert Belt,3.7%,,,,,,,,
Luxray,204,held_item,7,Quick Claw,3.6%,,,,,,,,
Luxray,204,held_item,8,Focus Sash,3.4%,,,,,,,,
Luxray,204,held_item,9,Magnet,3.3%,,,,,,,,
Luxray,204,held_item,10,Wide Lens,2.3%,,,,,,,,
Luxray,204,teammate,1,Garchomp,,,,,,,,,
Luxray,204,teammate,2,Staraptor,,,,,,,,,
Luxray,204,teammate,3,Blaziken,,,,,,,,,
Luxray,204,teammate,4,Dragonite,,,,,,,,,
Luxray,204,teammate,5,Charizard,,,,,,,,,
Luxray,204,teammate,6,Meowscarada,,,,,,,,,
Luxray,204,teammate,7,Greninja,,,,,,,,,
Luxray,204,teammate,8,Metagross,,,,,,,,,
Luxray,204,teammate,9,Delphox,,,,,,,,,
Luxray,204,teammate,10,Gyarados,,,,,,,,,
Luxray,204,stat_alignment,1,Adamant,44.9%,Attack,Sp. Atk,,,,,,
Luxray,204,stat_alignment,2,Impish,18.4%,Defense,Sp. Atk,,,,,,
Luxray,204,stat_alignment,3,Jolly,12.5%,Speed,Sp. Atk,,,,,,
Luxray,204,stat_alignment,4,Relaxed,3.9%,Defense,Speed,,,,,,
Luxray,204,stat_alignment,5,Brave,2.8%,Attack,Speed,,,,,,
Luxray,204,stat_alignment,6,Sassy,2.8%,Sp. Def,Speed,,,,,,
Luxray,204,stat_alignment,7,Bold,2.5%,Defense,Attack,,,,,,
Luxray,204,stat_alignment,8,Calm,2.3%,Sp. Def,Attack,,,,,,
Luxray,204,stat_alignment,9,Naughty,2.1%,Attack,Sp. Def,,,,,,
Luxray,204,stat_alignment,10,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Luxray,204,stat_points,1,,13.8%,,,32,0,32,0,2,0
Luxray,204,stat_points,2,,12.4%,,,2,32,0,0,0,32
Luxray,204,stat_points,3,,6.6%,,,32,32,2,0,0,0
Luxray,204,stat_points,4,,5.7%,,,32,32,1,0,1,0
Luxray,204,stat_points,5,,3.8%,,,0,32,0,0,2,32
Luxray,204,stat_points,6,,3.2%,,,32,2,32,0,0,0
Luxray,204,stat_points,7,,3.0%,,,0,32,2,0,0,32
Luxray,204,stat_points,8,,3.0%,,,2,32,32,0,0,0
Luxray,204,ability,1,Intimidate,89.8%,,,,,,,,
Luxray,204,ability,2,Guts,8.7%,,,,,,,,
Luxray,204,ability,3,Rivalry,1.4%,,,,,,,,
