pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Stunfisk-Galar,230,move,1,Yawn,84.6%,,,,,,,,
Stunfisk-Galar,230,move,2,Snap Trap,76.8%,,,,,,,,
Stunfisk-Galar,230,move,3,Stealth Rock,61.8%,,,,,,,,
Stunfisk-Galar,230,move,4,Fissure,46.9%,,,,,,,,
Stunfisk-Galar,230,move,5,Counter,30.7%,,,,,,,,
Stunfisk-Galar,230,move,6,Protect,23.8%,,,,,,,,
Stunfisk-Galar,230,move,7,Earthquake,15.1%,,,,,,,,
Stunfisk-Galar,230,move,8,Foul Play,13.1%,,,,,,,,
Stunfisk-Galar,230,move,9,Sucker Punch,5.6%,,,,,,,,
Stunfisk-Galar,230,move,10,Rest,4.9%,,,,,,,,
Stunfisk-Galar,230,held_item,1,Leftovers,46.0%,,,,,,,,
Stunfisk-Galar,230,held_item,2,Sitrus Berry,21.7%,,,,,,,,
Stunfisk-Galar,230,held_item,3,Binding Band,7.8%,,,,,,,,
Stunfisk-Galar,230,held_item,4,Rocky Helmet,6.7%,,,,,,,,
Stunfisk-Galar,230,held_item,5,Air Balloon,3.4%,,,,,,,,
Stunfisk-Galar,230,held_item,6,Red Card,3.4%,,,,,,,,
Stunfisk-Galar,230,held_item,7,Focus Sash,3.4%,,,,,,,,
Stunfisk-Galar,230,held_item,8,Shuca Berry,2.7%,,,,,,,,
Stunfisk-Galar,230,held_item,9,Chesto Berry,1.2%,,,,,,,,
Stunfisk-Galar,230,held_item,10,Chople Berry,0.7%,,,,,,,,
Stunfisk-Galar,230,teammate,1,Charizard,,,,,,,,,
Stunfisk-Galar,230,teammate,2,Baxcalibur,,,,,,,,,
Stunfisk-Galar,230,teammate,3,Salamence,,,,,,,,,
Stunfisk-Galar,230,teammate,4,Cinderace,,,,,,,,,
Stunfisk-Galar,230,teammate,5,Lucario,,,,,,,,,
Stunfisk-Galar,230,teammate,6,Rillaboom,,,,,,,,,
Stunfisk-Galar,230,teammate,7,Golisopod,,,,,,,,,
Stunfisk-Galar,230,teammate,8,Garchomp,,,,,,,,,
Stunfisk-Galar,230,teammate,9,Primarina,,,,,,,,,
Stunfisk-Galar,230,teammate,10,Dragapult,,,,,,,,,
Stunfisk-Galar,230,stat_alignment,1,Impish,51.8%,Defense,Sp. Atk,,,,,,
Stunfisk-Galar,230,stat_alignment,2,Careful,17.2%,Sp. Def,Sp. Atk,,,,,,
Stunfisk-Galar,230,stat_alignment,3,Relaxed,10.2%,Defense,Speed,,,,,,
Stunfisk-Galar,230,stat_alignment,4,Bold,8.5%,Defense,Attack,,,,,,
Stunfisk-Galar,230,stat_alignment,5,Sassy,5.2%,Sp. Def,Speed,,,,,,
Stunfisk-Galar,230,stat_alignment,6,Adamant,2.2%,Attack,Sp. Atk,,,,,,
Stunfisk-Galar,230,stat_alignment,7,Calm,1.7%,Sp. Def,Attack,,,,,,
Stunfisk-Galar,230,stat_alignment,8,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Stunfisk-Galar,230,stat_alignment,9,Brave,0.9%,Attack,Speed,,,,,,
Stunfisk-Galar,230,stat_alignment,10,Lonely,0.8%,Attack,Defense,,,,,,
Stunfisk-Galar,230,stat_points,1,,24.3%,,,32,0,32,0,2,0
Stunfisk-Galar,230,stat_points,2,,16.2%,,,31,0,32,0,3,0
Stunfisk-Galar,230,stat_points,3,,8.8%,,,32,0,31,0,3,0
Stunfisk-Galar,230,stat_points,4,,8.5%,,,32,0,2,0,32,0
Stunfisk-Galar,230,stat_points,5,,6.8%,,,32,2,32,0,0,0
Stunfisk-Galar,230,stat_points,6,,5.5%,,,32,0,32,0,0,0
Stunfisk-Galar,230,stat_points,7,,2.2%,,,32,0,8,0,26,0
Stunfisk-Galar,230,stat_points,8,,1.9%,,,31,0,3,0,32,0
Stunfisk-Galar,230,stat_points,9,,1.8%,,,32,9,25,0,0,0
Stunfisk-Galar,230,stat_points,10,,1.3%,,,2,0,32,0,32,0
Stunfisk-Galar,230,ability,1,Mimicry,100.0%,,,,,,,,
