pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Weavile,123,move,1,Knock Off,71.6%,,,,,,,,
Weavile,123,move,2,Triple Axel,68.2%,,,,,,,,
Weavile,123,move,3,Ice Shard,67.7%,,,,,,,,
Weavile,123,move,4,Counter,22.8%,,,,,,,,
Weavile,123,move,5,Fake Out,21.6%,,,,,,,,
Weavile,123,move,6,Poison Jab,20.4%,,,,,,,,
Weavile,123,move,7,Taunt,17.2%,,,,,,,,
Weavile,123,move,8,Icicle Crash,14.3%,,,,,,,,
Weavile,123,move,9,Throat Chop,13.9%,,,,,,,,
Weavile,123,move,10,Swords Dance,10.9%,,,,,,,,
Weavile,123,held_item,1,Focus Sash,56.8%,,,,,,,,
Weavile,123,held_item,2,Life Orb,18.8%,,,,,,,,
Weavile,123,held_item,3,Choice Scarf,8.2%,,,,,,,,
Weavile,123,held_item,4,Wide Lens,3.2%,,,,,,,,
Weavile,123,held_item,5,Never-Melt Ice,1.6%,,,,,,,,
Weavile,123,held_item,6,Expert Belt,1.1%,,,,,,,,
Weavile,123,held_item,7,Lum Berry,1.1%,,,,,,,,
Weavile,123,held_item,8,Normal Gem,0.9%,,,,,,,,
Weavile,123,held_item,9,Muscle Band,0.8%,,,,,,,,
Weavile,123,held_item,10,Air Balloon,0.7%,,,,,,,,
Weavile,123,teammate,1,Garchomp,,,,,,,,,
Weavile,123,teammate,2,Salamence,,,,,,,,,
Weavile,123,teammate,3,Golisopod,,,,,,,,,
Weavile,123,teammate,4,Primarina,,,,,,,,,
Weavile,123,teammate,5,Lucario,,,,,,,,,
Weavile,123,teammate,6,Charizard,,,,,,,,,
Weavile,123,teammate,7,Sneasler,,,,,,,,,
Weavile,123,teammate,8,Rillaboom,,,,,,,,,
Weavile,123,teammate,9,Cinderace,,,,,,,,,
Weavile,123,teammate,10,Basculegion,,,,,,,,,
Weavile,123,stat_alignment,1,Jolly,65.3%,Speed,Sp. Atk,,,,,,
Weavile,123,stat_alignment,2,Adamant,26.0%,Attack,Sp. Atk,,,,,,
Weavile,123,stat_alignment,3,Naughty,4.4%,Attack,Sp. Def,,,,,,
Weavile,123,stat_alignment,4,Hasty,2.2%,Speed,Defense,,,,,,
Weavile,123,stat_alignment,5,Lonely,0.9%,Attack,Defense,,,,,,
Weavile,123,stat_alignment,6,Naive,0.7%,Speed,Sp. Def,,,,,,
Weavile,123,stat_alignment,7,Impish,0.2%,Defense,Sp. Atk,,,,,,
Weavile,123,stat_alignment,8,Brave,0.1%,Attack,Speed,,,,,,
Weavile,123,stat_alignment,9,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Weavile,123,stat_alignment,10,Modest,0.0%,Sp. Atk,Attack,,,,,,
Weavile,123,stat_points,1,,58.8%,,,2,32,0,0,0,32
Weavile,123,stat_points,2,,11.0%,,,0,32,2,0,0,32
Weavile,123,stat_points,3,,9.2%,,,0,32,0,0,2,32
Weavile,123,stat_points,4,,3.7%,,,32,32,0,0,0,2
Weavile,123,stat_points,5,,2.8%,,,0,32,0,0,0,32
Weavile,123,stat_points,6,,2.5%,,,3,32,0,0,0,31
Weavile,123,stat_points,7,,1.2%,,,0,32,20,0,0,14
Weavile,123,stat_points,8,,0.9%,,,0,32,6,0,0,28
Weavile,123,stat_points,9,,0.9%,,,6,32,0,0,0,28
Weavile,123,stat_points,10,,0.9%,,,2,32,1,0,0,31
Weavile,123,ability,1,Pressure,55.6%,,,,,,,,
Weavile,123,ability,2,Pickpocket,44.4%,,,,,,,,
