pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Torkoal,22,move,1,Eruption,96.2%,,,,,,,,
Torkoal,22,move,2,Protect,89.5%,,,,,,,,
Torkoal,22,move,3,Weather Ball,53.8%,,,,,,,,
Torkoal,22,move,4,Earth Power,37.4%,,,,,,,,
Torkoal,22,move,5,Heat Wave,47.2%,,,,,,,,
Torkoal,22,move,6,Helping Hand,22.4%,,,,,,,,
Torkoal,22,move,7,Solar Beam,26.7%,,,,,,,,
Torkoal,22,move,8,Ancient Power,2.8%,,,,,,,,
Torkoal,22,move,9,Flamethrower,2.5%,,,,,,,,
Torkoal,22,move,10,Yawn,2.3%,,,,,,,,
Torkoal,22,held_item,1,Charcoal,92.2%,,,,,,,,
Torkoal,22,held_item,2,Life Orb,2.4%,,,,,,,,
Torkoal,22,held_item,3,Sitrus Berry,1.5%,,,,,,,,
Torkoal,22,held_item,4,Leftovers,1.2%,,,,,,,,
Torkoal,22,held_item,5,Lopunnite,0.5%,,,,,,,,
Torkoal,22,held_item,6,Quick Claw,0.3%,,,,,,,,
Torkoal,22,held_item,7,Wise Glasses,0.3%,,,,,,,,
Torkoal,22,held_item,8,Expert Belt,0.3%,,,,,,,,
Torkoal,22,held_item,9,Heat Rock,0.2%,,,,,,,,
Torkoal,22,held_item,10,Focus Sash,0.2%,,,,,,,,
Torkoal,22,teammate,1,Indeedee Female,,,,,,,,,
Torkoal,22,teammate,2,Gardevoir,,,,,,,,,
Torkoal,22,teammate,3,Sneasler,,,,,,,,,
Torkoal,22,teammate,4,Armarouge,,,,,,,,,
Torkoal,22,teammate,5,Farigiraf,,,,,,,,,
Torkoal,22,teammate,6,Kingambit,,,,,,,,,
Torkoal,22,teammate,7,Incineroar,,,,,,,,,
Torkoal,22,teammate,8,Golisopod,,,,,,,,,
Torkoal,22,teammate,9,Hatterene,,,,,,,,,
Torkoal,22,teammate,10,Basculegion Male,,,,,,,,,
Torkoal,22,stat_alignment,1,Quiet,82.6%,Sp. Atk,Speed,,,,,,
Torkoal,22,stat_alignment,2,Modest,5.1%,Sp. Atk,Attack,,,,,,
Torkoal,22,stat_alignment,3,Relaxed,0.8%,Defense,Speed,,,,,,
Torkoal,22,stat_alignment,4,Sassy,0.8%,Sp. Def,Speed,,,,,,
Torkoal,22,stat_alignment,5,Calm,0.3%,Sp. Def,Attack,,,,,,
Torkoal,22,stat_alignment,6,Bold,0.2%,Defense,Attack,,,,,,
Torkoal,22,stat_alignment,7,Timid,0.0%,Speed,Attack,,,,,,
Torkoal,22,stat_alignment,8,Brave,0.0%,Attack,Speed,,,,,,
Torkoal,22,stat_alignment,9,Impish,0.0%,Defense,Sp. Atk,,,,,,
Torkoal,22,stat_alignment,10,Serious,0.0%,Sp. Def,Defense,,,,,,
Torkoal,22,stat_points,1,,47.5%,,,32,0,0,32,2,0
Torkoal,22,stat_points,2,,19.7%,,,32,0,1,32,1,0
Torkoal,22,stat_points,3,,11.5%,,,32,0,2,32,0,0
Torkoal,22,stat_points,4,,1.5%,,,32,0,0,32,0,0
Torkoal,22,stat_points,5,,1.4%,,,2,0,0,32,32,0
Torkoal,22,stat_points,6,,1.3%,,,2,0,32,32,0,0
Torkoal,22,stat_points,7,,1.2%,,,32,0,0,32,1,0
Torkoal,22,stat_points,8,,1.1%,,,0,0,2,32,32,0
Torkoal,22,stat_points,9,,1.1%,,,30,0,0,32,4,0
Torkoal,22,stat_points,10,,0.7%,,,0,0,32,32,2,0
Torkoal,22,ability,1,Drought,99.9%,,,,,,,,
Torkoal,22,ability,2,Shell Armor,0.1%,,,,,,,,
Torkoal,22,ability,3,White Smoke,0.0%,,,,,,,,
