pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Excadrill,27,move,1,Iron Head,99.3%,,,,,,,,
Excadrill,27,move,2,Protect,98.1%,,,,,,,,
Excadrill,27,move,3,Rock Slide,88.7%,,,,,,,,
Excadrill,27,move,4,High Horsepower,64.1%,,,,,,,,
Excadrill,27,move,5,Earthquake,44.3%,,,,,,,,
Excadrill,27,move,6,Stomping Tantrum,1.1%,,,,,,,,
Excadrill,27,move,7,Swords Dance,0.9%,,,,,,,,
Excadrill,27,move,8,Rock Tomb,0.9%,,,,,,,,
Excadrill,27,move,9,Brick Break,0.5%,,,,,,,,
Excadrill,27,move,10,Drill Run,0.5%,,,,,,,,
Excadrill,27,held_item,1,Focus Sash,85.2%,,,,,,,,
Excadrill,27,held_item,2,Life Orb,11.0%,,,,,,,,
Excadrill,27,held_item,3,Expert Belt,1.0%,,,,,,,,
Excadrill,27,held_item,4,Choice Scarf,1.0%,,,,,,,,
Excadrill,27,held_item,5,Soft Sand,0.6%,,,,,,,,
Excadrill,27,held_item,6,Excadrite,0.5%,,,,,,,,
Excadrill,27,held_item,7,Lopunnite,0.2%,,,,,,,,
Excadrill,27,held_item,8,Sitrus Berry,0.2%,,,,,,,,
Excadrill,27,held_item,9,King's Rock,0.1%,,,,,,,,
Excadrill,27,held_item,10,Chople Berry,0.1%,,,,,,,,
Excadrill,27,teammate,1,Tyranitar,,,,,,,,,
Excadrill,27,teammate,2,Salamence,,,,,,,,,
Excadrill,27,teammate,3,Sneasler,,,,,,,,,
Excadrill,27,teammate,4,Indeedee,,,,,,,,,
Excadrill,27,teammate,5,Milotic,,,,,,,,,
Excadrill,27,teammate,6,Gholdengo,,,,,,,,,
Excadrill,27,teammate,7,Rillaboom,,,,,,,,,
Excadrill,27,teammate,8,Indeedee Female,,,,,,,,,
Excadrill,27,teammate,9,Kingambit,,,,,,,,,
Excadrill,27,teammate,10,Sinistcha,,,,,,,,,
Excadrill,27,stat_alignment,1,Adamant,61.7%,Attack,Sp. Atk,,,,,,
Excadrill,27,stat_alignment,2,Jolly,27.1%,Speed,Sp. Atk,,,,,,
Excadrill,27,stat_alignment,3,Lonely,0.4%,Attack,Defense,,,,,,
Excadrill,27,stat_alignment,4,Naughty,0.3%,Attack,Sp. Def,,,,,,
Excadrill,27,stat_alignment,5,Brave,0.2%,Attack,Speed,,,,,,
Excadrill,27,stat_alignment,6,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Excadrill,27,stat_alignment,7,Impish,0.1%,Defense,Sp. Atk,,,,,,
Excadrill,27,stat_alignment,8,Hasty,0.1%,Speed,Defense,,,,,,
Excadrill,27,stat_alignment,9,Naive,0.0%,Speed,Sp. Def,,,,,,
Excadrill,27,stat_alignment,10,Serious,0.0%,Speed,Attack,,,,,,
Excadrill,27,stat_points,1,,53.9%,,,2,32,0,0,0,32
Excadrill,27,stat_points,2,,14.4%,,,0,32,2,0,0,32
Excadrill,27,stat_points,3,,7.6%,,,0,32,0,0,2,32
Excadrill,27,stat_points,4,,2.8%,,,0,32,1,0,1,32
Excadrill,27,stat_points,5,,2.7%,,,1,32,1,0,0,32
Excadrill,27,stat_points,6,,1.7%,,,1,32,0,0,1,32
Excadrill,27,stat_points,7,,0.9%,,,0,32,0,0,0,32
Excadrill,27,stat_points,8,,0.6%,,,1,32,0,0,0,32
Excadrill,27,stat_points,9,,0.4%,,,12,15,13,0,9,17
Excadrill,27,stat_points,10,,0.3%,,,8,29,25,0,0,4
Excadrill,27,ability,1,Sand Rush,97.3%,,,,,,,,
Excadrill,27,ability,2,Mold Breaker,2.2%,,,,,,,,
Excadrill,27,ability,3,Sand Force,0.5%,,,,,,,,
