pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meowstic-F,111,move,1,Expanding Force,98.6%,,,,,,,,
Meowstic-F,111,move,2,Protect,92.6%,,,,,,,,
Meowstic-F,111,move,3,Thunderbolt,24.0%,,,,,,,,
Meowstic-F,111,move,4,Alluring Voice,40.6%,,,,,,,,
Meowstic-F,111,move,5,Nasty Plot,28.1%,,,,,,,,
Meowstic-F,111,move,6,Dark Pulse,17.4%,,,,,,,,
Meowstic-F,111,move,7,Fake Out,26.5%,,,,,,,,
Meowstic-F,111,move,8,Shadow Ball,10.2%,,,,,,,,
Meowstic-F,111,move,9,Psychic Terrain,4.8%,,,,,,,,
Meowstic-F,111,move,10,Calm Mind,4.2%,,,,,,,,
Meowstic-F,111,held_item,1,Meowsticite,85.3%,,,,,,,,
Meowstic-F,111,held_item,2,Focus Sash,2.6%,,,,,,,,
Meowstic-F,111,held_item,3,Twisted Spoon,9.8%,,,,,,,,
Meowstic-F,111,held_item,4,Bright Powder,0.7%,,,,,,,,
Meowstic-F,111,held_item,5,Sitrus Berry,0.1%,,,,,,,,
Meowstic-F,111,held_item,6,Light Clay,0.1%,,,,,,,,
Meowstic-F,111,held_item,7,Choice Scarf,0.1%,,,,,,,,
Meowstic-F,111,held_item,8,Life Orb,0.1%,,,,,,,,
Meowstic-F,111,teammate,1,Indeedee Female,,,,,,,,,
Meowstic-F,111,teammate,2,Sneasler,,,,,,,,,
Meowstic-F,111,teammate,3,Armarouge,,,,,,,,,
Meowstic-F,111,teammate,4,Basculegion Male,,,,,,,,,
Meowstic-F,111,teammate,5,Golisopod,,,,,,,,,
Meowstic-F,111,teammate,6,Indeedee,,,,,,,,,
Meowstic-F,111,teammate,7,Torkoal,,,,,,,,,
Meowstic-F,111,teammate,8,Rillaboom,,,,,,,,,
Meowstic-F,111,teammate,9,Incineroar,,,,,,,,,
Meowstic-F,111,teammate,10,Kingambit,,,,,,,,,
Meowstic-F,111,stat_alignment,1,Timid,58.6%,Speed,Attack,,,,,,
Meowstic-F,111,stat_alignment,2,Modest,20.2%,Sp. Atk,Attack,,,,,,
Meowstic-F,111,stat_alignment,3,Bold,0.7%,Defense,Attack,,,,,,
Meowstic-F,111,stat_alignment,4,Hasty,0.2%,Speed,Defense,,,,,,
Meowstic-F,111,stat_alignment,5,Calm,0.1%,Sp. Def,Attack,,,,,,
Meowstic-F,111,stat_alignment,6,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Meowstic-F,111,stat_alignment,7,Quirky,0.0%,Sp. Atk,Defense,,,,,,
Meowstic-F,111,stat_alignment,8,Relaxed,0.0%,Defense,Speed,,,,,,
Meowstic-F,111,stat_points,1,,40.3%,,,2,0,0,32,0,32
Meowstic-F,111,stat_points,2,,8.0%,,,0,0,2,32,0,32
Meowstic-F,111,stat_points,3,,6.3%,,,0,0,0,32,2,32
Meowstic-F,111,stat_points,4,,4.1%,,,3,0,1,32,1,29
Meowstic-F,111,stat_points,5,,3.4%,,,4,0,0,32,0,30
Meowstic-F,111,stat_points,6,,2.9%,,,5,0,0,32,0,29
Meowstic-F,111,stat_points,7,,2.8%,,,1,0,1,32,0,32
Meowstic-F,111,stat_points,8,,2.0%,,,0,0,0,32,0,32
Meowstic-F,111,stat_points,9,,2.0%,,,16,0,4,17,0,29
Meowstic-F,111,stat_points,10,,1.7%,,,11,0,0,14,12,29
Meowstic-F,111,ability,1,Competitive,99.0%,,,,,,,,
Meowstic-F,111,ability,2,Infiltrator,0.9%,,,,,,,,
Meowstic-F,111,ability,3,Keen Eye,0.1%,,,,,,,,
