pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slurpuff,162,move,1,Sticky Web,80.4%,,,,,,,,
Slurpuff,162,move,2,Yawn,69.3%,,,,,,,,
Slurpuff,162,move,3,Endeavor,59.0%,,,,,,,,
Slurpuff,162,move,4,Dazzling Gleam,45.9%,,,,,,,,
Slurpuff,162,move,5,Draining Kiss,21.7%,,,,,,,,
Slurpuff,162,move,6,Misty Explosion,20.0%,,,,,,,,
Slurpuff,162,move,7,Flamethrower,19.7%,,,,,,,,
Slurpuff,162,move,8,Calm Mind,17.5%,,,,,,,,
Slurpuff,162,move,9,Cotton Guard,16.6%,,,,,,,,
Slurpuff,162,move,10,String Shot,5.7%,,,,,,,,
Slurpuff,162,held_item,1,Sitrus Berry,48.8%,,,,,,,,
Slurpuff,162,held_item,2,Focus Sash,25.7%,,,,,,,,
Slurpuff,162,held_item,3,Oran Berry,13.3%,,,,,,,,
Slurpuff,162,held_item,4,Leftovers,3.0%,,,,,,,,
Slurpuff,162,held_item,5,Mental Herb,1.5%,,,,,,,,
Slurpuff,162,held_item,6,Chesto Berry,1.1%,,,,,,,,
Slurpuff,162,held_item,7,Quick Claw,0.9%,,,,,,,,
Slurpuff,162,held_item,8,Lum Berry,0.8%,,,,,,,,
Slurpuff,162,held_item,9,Babiri Berry,0.8%,,,,,,,,
Slurpuff,162,held_item,10,Expert Belt,0.4%,,,,,,,,
Slurpuff,162,teammate,1,Garchomp,,,,,,,,,
Slurpuff,162,teammate,2,Raichu,,,,,,,,,
Slurpuff,162,teammate,3,Gyarados,,,,,,,,,
Slurpuff,162,teammate,4,Archaludon,,,,,,,,,
Slurpuff,162,teammate,5,Basculegion Male,,,,,,,,,
Slurpuff,162,teammate,6,Charizard,,,,,,,,,
Slurpuff,162,teammate,7,Meowscarada,,,,,,,,,
Slurpuff,162,teammate,8,Delphox,,,,,,,,,
Slurpuff,162,teammate,9,Mimikyu,,,,,,,,,
Slurpuff,162,teammate,10,Staraptor,,,,,,,,,
Slurpuff,162,stat_alignment,1,Bold,31.7%,Defense,Attack,,,,,,
Slurpuff,162,stat_alignment,2,Timid,28.1%,Speed,Attack,,,,,,
Slurpuff,162,stat_alignment,3,Modest,15.1%,Sp. Atk,Attack,,,,,,
Slurpuff,162,stat_alignment,4,Calm,14.8%,Sp. Def,Attack,,,,,,
Slurpuff,162,stat_alignment,5,Hasty,6.3%,Speed,Defense,,,,,,
Slurpuff,162,stat_alignment,6,Mild,1.4%,Sp. Atk,Defense,,,,,,
Slurpuff,162,stat_alignment,7,Careful,1.1%,Sp. Def,Sp. Atk,,,,,,
Slurpuff,162,stat_alignment,8,Naive,0.9%,Speed,Sp. Def,,,,,,
Slurpuff,162,stat_alignment,9,Jolly,0.9%,Speed,Sp. Atk,,,,,,
Slurpuff,162,stat_alignment,10,Impish,0.0%,Defense,Sp. Atk,,,,,,
Slurpuff,162,stat_points,1,,12.4%,,,2,0,0,32,0,32
Slurpuff,162,stat_points,2,,9.0%,,,32,0,11,0,20,3
Slurpuff,162,stat_points,3,,4.8%,,,0,0,0,32,0,32
Slurpuff,162,stat_points,4,,3.1%,,,32,0,32,0,2,0
Slurpuff,162,stat_points,5,,2.5%,,,0,0,0,32,2,32
Slurpuff,162,stat_points,6,,1.9%,,,32,0,2,0,32,0
Slurpuff,162,stat_points,7,,1.8%,,,0,0,2,32,0,32
Slurpuff,162,stat_points,8,,1.8%,,,32,0,0,0,2,32
Slurpuff,162,stat_points,9,,1.7%,,,32,0,0,0,19,15
Slurpuff,162,stat_points,10,,1.7%,,,10,0,0,32,0,24
Slurpuff,162,ability,1,Unburden,85.5%,,,,,,,,
Slurpuff,162,ability,2,Sweet Veil,14.5%,,,,,,,,
