pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Heat,90,move,1,Overheat,96.4%,,,,,,,,
Rotom Heat,90,move,2,Volt Switch,63.8%,,,,,,,,
Rotom Heat,90,move,3,Thunderbolt,47.6%,,,,,,,,
Rotom Heat,90,move,4,Discharge,47.4%,,,,,,,,
Rotom Heat,90,move,5,Will-O-Wisp,34.5%,,,,,,,,
Rotom Heat,90,move,6,Protect,25.9%,,,,,,,,
Rotom Heat,90,move,7,Trick,22.0%,,,,,,,,
Rotom Heat,90,move,8,Electroweb,20.7%,,,,,,,,
Rotom Heat,90,move,9,Thunder,8.0%,,,,,,,,
Rotom Heat,90,move,10,Shadow Ball,6.8%,,,,,,,,
Rotom Heat,90,held_item,1,Choice Scarf,66.4%,,,,,,,,
Rotom Heat,90,held_item,2,Sitrus Berry,15.5%,,,,,,,,
Rotom Heat,90,held_item,3,Leftovers,6.9%,,,,,,,,
Rotom Heat,90,held_item,4,White Herb,3.2%,,,,,,,,
Rotom Heat,90,held_item,5,Life Orb,2.8%,,,,,,,,
Rotom Heat,90,held_item,6,Magnet,2.2%,,,,,,,,
Rotom Heat,90,held_item,7,Wide Lens,2.0%,,,,,,,,
Rotom Heat,90,held_item,8,Focus Sash,1.5%,,,,,,,,
Rotom Heat,90,held_item,9,Quick Claw,1.4%,,,,,,,,
Rotom Heat,90,held_item,10,Passho Berry,1.2%,,,,,,,,
Rotom Heat,90,teammate,1,Sceptile,,,,,,,,,
Rotom Heat,90,teammate,2,Garchomp,,,,,,,,,
Rotom Heat,90,teammate,3,Sneasler,,,,,,,,,
Rotom Heat,90,teammate,4,Basculegion Male,,,,,,,,,
Rotom Heat,90,teammate,5,Whimsicott,,,,,,,,,
Rotom Heat,90,teammate,6,Tyranitar,,,,,,,,,
Rotom Heat,90,teammate,7,Sinistcha,,,,,,,,,
Rotom Heat,90,teammate,8,Aerodactyl,,,,,,,,,
Rotom Heat,90,teammate,9,Pelipper,,,,,,,,,
Rotom Heat,90,teammate,10,Swampert,,,,,,,,,
Rotom Heat,90,stat_alignment,1,Timid,53.4%,Speed,Attack,,,,,,
Rotom Heat,90,stat_alignment,2,Modest,32.5%,Sp. Atk,Attack,,,,,,
Rotom Heat,90,stat_alignment,3,Bold,6.6%,Defense,Attack,,,,,,
Rotom Heat,90,stat_alignment,4,Calm,3.6%,Sp. Def,Attack,,,,,,
Rotom Heat,90,stat_alignment,5,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Rotom Heat,90,stat_alignment,6,Mild,0.8%,Sp. Atk,Defense,,,,,,
Rotom Heat,90,stat_alignment,7,Hasty,0.7%,Speed,Defense,,,,,,
Rotom Heat,90,stat_alignment,8,Relaxed,0.4%,Defense,Speed,,,,,,
Rotom Heat,90,stat_alignment,9,Sassy,0.0%,Sp. Def,Speed,,,,,,
Rotom Heat,90,stat_alignment,10,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Rotom Heat,90,stat_points,1,,32.7%,,,2,0,0,32,0,32
Rotom Heat,90,stat_points,2,,5.5%,,,0,0,0,32,2,32
Rotom Heat,90,stat_points,3,,3.9%,,,0,0,2,32,0,32
Rotom Heat,90,stat_points,4,,2.5%,,,32,0,0,32,2,0
Rotom Heat,90,stat_points,5,,2.4%,,,32,0,0,32,0,2
Rotom Heat,90,stat_points,6,,1.6%,,,19,0,0,15,0,32
Rotom Heat,90,stat_points,7,,1.6%,,,9,0,0,32,0,25
Rotom Heat,90,stat_points,8,,1.6%,,,8,0,0,32,0,26
Rotom Heat,90,stat_points,9,,1.6%,,,0,0,0,32,0,32
Rotom Heat,90,stat_points,10,,1.1%,,,1,0,3,25,0,27
Rotom Heat,90,ability,1,Levitate,100.0%,,,,,,,,
