pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom-Frost,197,move,1,Blizzard,97.4%,,,,,,,,
Rotom-Frost,197,move,2,Volt Switch,63.2%,,,,,,,,
Rotom-Frost,197,move,3,Thunderbolt,57.7%,,,,,,,,
Rotom-Frost,197,move,4,Will-O-Wisp,56.8%,,,,,,,,
Rotom-Frost,197,move,5,Trick,30.2%,,,,,,,,
Rotom-Frost,197,move,6,Shadow Ball,14.2%,,,,,,,,
Rotom-Frost,197,move,7,Pain Split,14.1%,,,,,,,,
Rotom-Frost,197,move,8,Thunder,9.8%,,,,,,,,
Rotom-Frost,197,move,9,Protect,7.9%,,,,,,,,
Rotom-Frost,197,move,10,Nasty Plot,7.1%,,,,,,,,
Rotom-Frost,197,held_item,1,Choice Scarf,32.9%,,,,,,,,
Rotom-Frost,197,held_item,2,Sitrus Berry,18.8%,,,,,,,,
Rotom-Frost,197,held_item,3,Leftovers,15.5%,,,,,,,,
Rotom-Frost,197,held_item,4,Zoom Lens,5.9%,,,,,,,,
Rotom-Frost,197,held_item,5,Life Orb,4.1%,,,,,,,,
Rotom-Frost,197,held_item,6,Wide Lens,4.1%,,,,,,,,
Rotom-Frost,197,held_item,7,Rocky Helmet,3.5%,,,,,,,,
Rotom-Frost,197,held_item,8,Never-Melt Ice,2.6%,,,,,,,,
Rotom-Frost,197,held_item,9,Quick Claw,2.1%,,,,,,,,
Rotom-Frost,197,held_item,10,Focus Sash,1.8%,,,,,,,,
Rotom-Frost,197,teammate,1,Garchomp,,,,,,,,,
Rotom-Frost,197,teammate,2,Golisopod,,,,,,,,,
Rotom-Frost,197,teammate,3,Salamence,,,,,,,,,
Rotom-Frost,197,teammate,4,Baxcalibur,,,,,,,,,
Rotom-Frost,197,teammate,5,Primarina,,,,,,,,,
Rotom-Frost,197,teammate,6,Charizard,,,,,,,,,
Rotom-Frost,197,teammate,7,Gyarados,,,,,,,,,
Rotom-Frost,197,teammate,8,Lucario,,,,,,,,,
Rotom-Frost,197,teammate,9,Dragonite,,,,,,,,,
Rotom-Frost,197,teammate,10,Incineroar,,,,,,,,,
Rotom-Frost,197,stat_alignment,1,Modest,41.5%,Sp. Atk,Attack,,,,,,
Rotom-Frost,197,stat_alignment,2,Timid,25.6%,Speed,Attack,,,,,,
Rotom-Frost,197,stat_alignment,3,Bold,17.4%,Defense,Attack,,,,,,
Rotom-Frost,197,stat_alignment,4,Calm,11.9%,Sp. Def,Attack,,,,,,
Rotom-Frost,197,stat_alignment,5,Quiet,1.7%,Sp. Atk,Speed,,,,,,
Rotom-Frost,197,stat_alignment,6,Relaxed,1.3%,Defense,Speed,,,,,,
Rotom-Frost,197,stat_alignment,7,Naive,0.3%,Speed,Sp. Def,,,,,,
Rotom-Frost,197,stat_alignment,8,Hasty,0.2%,Speed,Defense,,,,,,
Rotom-Frost,197,stat_alignment,9,Mild,0.1%,Sp. Atk,Defense,,,,,,
Rotom-Frost,197,stat_alignment,10,Naughty,0.0%,Attack,Sp. Def,,,,,,
Rotom-Frost,197,stat_points,1,,28.3%,,,2,0,0,32,0,32
Rotom-Frost,197,stat_points,2,,9.4%,,,32,0,0,32,0,2
Rotom-Frost,197,stat_points,3,,6.0%,,,32,0,32,2,0,0
Rotom-Frost,197,stat_points,4,,5.4%,,,32,0,2,32,0,0
Rotom-Frost,197,stat_points,5,,3.0%,,,32,0,0,20,13,1
Rotom-Frost,197,stat_points,6,,2.5%,,,0,0,0,32,2,32
Rotom-Frost,197,stat_points,7,,2.4%,,,32,0,32,0,2,0
Rotom-Frost,197,stat_points,8,,2.0%,,,32,0,0,32,2,0
Rotom-Frost,197,stat_points,9,,1.8%,,,0,0,32,32,2,0
Rotom-Frost,197,stat_points,10,,1.7%,,,32,0,32,0,1,1
Rotom-Frost,197,ability,1,Levitate,100.0%,,,,,,,,
