pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Decidueye-Hisui,152,move,1,Triple Arrows,98.3%,,,,,,,,
Decidueye-Hisui,152,move,2,Leaf Blade,88.8%,,,,,,,,
Decidueye-Hisui,152,move,3,Sucker Punch,63.4%,,,,,,,,
Decidueye-Hisui,152,move,4,U-turn,26.4%,,,,,,,,
Decidueye-Hisui,152,move,5,Rock Tomb,18.0%,,,,,,,,
Decidueye-Hisui,152,move,6,Shadow Sneak,16.0%,,,,,,,,
Decidueye-Hisui,152,move,7,Upper Hand,13.7%,,,,,,,,
Decidueye-Hisui,152,move,8,Brave Bird,10.9%,,,,,,,,
Decidueye-Hisui,152,move,9,Swords Dance,10.0%,,,,,,,,
Decidueye-Hisui,152,move,10,Taunt,8.6%,,,,,,,,
Decidueye-Hisui,152,held_item,1,Scope Lens,36.1%,,,,,,,,
Decidueye-Hisui,152,held_item,2,Focus Sash,19.1%,,,,,,,,
Decidueye-Hisui,152,held_item,3,Choice Scarf,11.5%,,,,,,,,
Decidueye-Hisui,152,held_item,4,Life Orb,8.3%,,,,,,,,
Decidueye-Hisui,152,held_item,5,Lum Berry,5.8%,,,,,,,,
Decidueye-Hisui,152,held_item,6,Sitrus Berry,3.2%,,,,,,,,
Decidueye-Hisui,152,held_item,7,Black Belt,2.7%,,,,,,,,
Decidueye-Hisui,152,held_item,8,Expert Belt,2.1%,,,,,,,,
Decidueye-Hisui,152,held_item,9,Leftovers,1.9%,,,,,,,,
Decidueye-Hisui,152,held_item,10,King's Rock,1.5%,,,,,,,,
Decidueye-Hisui,152,teammate,1,Garchomp,,,,,,,,,
Decidueye-Hisui,152,teammate,2,Golisopod,,,,,,,,,
Decidueye-Hisui,152,teammate,3,Salamence,,,,,,,,,
Decidueye-Hisui,152,teammate,4,Baxcalibur,,,,,,,,,
Decidueye-Hisui,152,teammate,5,Greninja,,,,,,,,,
Decidueye-Hisui,152,teammate,6,Primarina,,,,,,,,,
Decidueye-Hisui,152,teammate,7,Lucario,,,,,,,,,
Decidueye-Hisui,152,teammate,8,Metagross,,,,,,,,,
Decidueye-Hisui,152,teammate,9,Delphox,,,,,,,,,
Decidueye-Hisui,152,teammate,10,Skeledirge,,,,,,,,,
Decidueye-Hisui,152,stat_alignment,1,Adamant,62.4%,Attack,Sp. Atk,,,,,,
Decidueye-Hisui,152,stat_alignment,2,Jolly,26.9%,Speed,Sp. Atk,,,,,,
Decidueye-Hisui,152,stat_alignment,3,Brave,2.2%,Attack,Speed,,,,,,
Decidueye-Hisui,152,stat_alignment,4,Hasty,2.0%,Speed,Defense,,,,,,
Decidueye-Hisui,152,stat_alignment,5,Impish,1.9%,Defense,Sp. Atk,,,,,,
Decidueye-Hisui,152,stat_alignment,6,Lonely,1.8%,Attack,Defense,,,,,,
Decidueye-Hisui,152,stat_alignment,7,Careful,1.2%,Sp. Def,Sp. Atk,,,,,,
Decidueye-Hisui,152,stat_alignment,8,Naughty,0.5%,Attack,Sp. Def,,,,,,
Decidueye-Hisui,152,stat_alignment,9,Modest,0.5%,Sp. Atk,Attack,,,,,,
Decidueye-Hisui,152,stat_alignment,10,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,
Decidueye-Hisui,152,stat_points,1,,45.0%,,,2,32,0,0,0,32
Decidueye-Hisui,152,stat_points,2,,6.3%,,,0,32,2,0,0,32
Decidueye-Hisui,152,stat_points,3,,5.0%,,,32,32,2,0,0,0
Decidueye-Hisui,152,stat_points,4,,4.1%,,,0,32,0,0,2,32
Decidueye-Hisui,152,stat_points,5,,2.3%,,,32,32,0,0,2,0
Decidueye-Hisui,152,stat_points,6,,2.1%,,,28,32,0,0,0,6
Decidueye-Hisui,152,stat_points,7,,1.7%,,,32,32,0,0,0,2
Decidueye-Hisui,152,stat_points,8,,1.2%,,,1,32,1,0,0,32
Decidueye-Hisui,152,stat_points,9,,1.2%,,,26,32,0,0,0,8
Decidueye-Hisui,152,stat_points,10,,1.0%,,,6,28,0,0,3,29
Decidueye-Hisui,152,ability,1,Scrappy,97.3%,,,,,,,,
Decidueye-Hisui,152,ability,2,Overgrow,2.7%,,,,,,,,
