pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mabosstiff,190,move,1,Jaw Lock,72.3%,,,,,,,,
Mabosstiff,190,move,2,Psychic Fangs,51.3%,,,,,,,,
Mabosstiff,190,move,3,Protect,51.1%,,,,,,,,
Mabosstiff,190,move,4,Play Rough,38.2%,,,,,,,,
Mabosstiff,190,move,5,Ice Fang,32.8%,,,,,,,,
Mabosstiff,190,move,6,Crunch,22.8%,,,,,,,,
Mabosstiff,190,move,7,Destiny Bond,22.0%,,,,,,,,
Mabosstiff,190,move,8,Comeuppance,16.1%,,,,,,,,
Mabosstiff,190,move,9,Fire Fang,15.8%,,,,,,,,
Mabosstiff,190,move,10,Wild Charge,15.2%,,,,,,,,
Mabosstiff,190,held_item,1,Choice Scarf,18.0%,,,,,,,,
Mabosstiff,190,held_item,2,Focus Sash,14.2%,,,,,,,,
Mabosstiff,190,held_item,3,Life Orb,10.8%,,,,,,,,
Mabosstiff,190,held_item,4,Sitrus Berry,10.5%,,,,,,,,
Mabosstiff,190,held_item,5,Chople Berry,7.3%,,,,,,,,
Mabosstiff,190,held_item,6,Black Glasses,6.1%,,,,,,,,
Mabosstiff,190,held_item,7,Rocky Helmet,5.9%,,,,,,,,
Mabosstiff,190,held_item,8,Bright Powder,4.8%,,,,,,,,
Mabosstiff,190,held_item,9,Red Card,3.1%,,,,,,,,
Mabosstiff,190,held_item,10,Expert Belt,2.6%,,,,,,,,
Mabosstiff,190,teammate,1,Rillaboom,,,,,,,,,
Mabosstiff,190,teammate,2,Salamence,,,,,,,,,
Mabosstiff,190,teammate,3,Farigiraf,,,,,,,,,
Mabosstiff,190,teammate,4,Tsareena,,,,,,,,,
Mabosstiff,190,teammate,5,Garchomp,,,,,,,,,
Mabosstiff,190,teammate,6,Basculegion,,,,,,,,,
Mabosstiff,190,teammate,7,Charizard,,,,,,,,,
Mabosstiff,190,teammate,8,Lucario,,,,,,,,,
Mabosstiff,190,teammate,9,Incineroar,,,,,,,,,
Mabosstiff,190,teammate,10,Blaziken,,,,,,,,,
Mabosstiff,190,stat_alignment,1,Adamant,57.3%,Attack,Sp. Atk,,,,,,
Mabosstiff,190,stat_alignment,2,Brave,14.4%,Attack,Speed,,,,,,
Mabosstiff,190,stat_alignment,3,Jolly,13.7%,Speed,Sp. Atk,,,,,,
Mabosstiff,190,stat_alignment,4,Careful,5.2%,Sp. Def,Sp. Atk,,,,,,
Mabosstiff,190,stat_alignment,5,Relaxed,3.1%,Defense,Speed,,,,,,
Mabosstiff,190,stat_alignment,6,Impish,2.3%,Defense,Sp. Atk,,,,,,
Mabosstiff,190,stat_alignment,7,Sassy,1.2%,Sp. Def,Speed,,,,,,
Mabosstiff,190,stat_alignment,8,Naive,0.8%,Speed,Sp. Def,,,,,,
Mabosstiff,190,stat_alignment,9,Naughty,0.6%,Attack,Sp. Def,,,,,,
Mabosstiff,190,stat_alignment,10,Hasty,0.5%,Speed,Defense,,,,,,
Mabosstiff,190,stat_points,1,,18.4%,,,32,32,0,0,2,0
Mabosstiff,190,stat_points,2,,13.7%,,,2,32,0,0,0,32
Mabosstiff,190,stat_points,3,,7.6%,,,0,32,2,0,0,32
Mabosstiff,190,stat_points,4,,6.1%,,,32,32,2,0,0,0
Mabosstiff,190,stat_points,5,,5.9%,,,0,32,0,0,2,32
Mabosstiff,190,stat_points,6,,5.4%,,,0,32,32,0,2,0
Mabosstiff,190,stat_points,7,,3.1%,,,32,32,0,0,1,1
Mabosstiff,190,stat_points,8,,2.7%,,,32,32,0,0,0,2
Mabosstiff,190,stat_points,9,,2.2%,,,0,32,0,0,0,32
Mabosstiff,190,stat_points,10,,2.1%,,,14,32,0,0,20,0
Mabosstiff,190,ability,1,Guard Dog,66.2%,,,,,,,,
Mabosstiff,190,ability,2,Intimidate,19.5%,,,,,,,,
Mabosstiff,190,ability,3,Stakeout,14.2%,,,,,,,,
