pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Oranguru,95,move,1,Instruct,95.5%,,,,,,,,
Oranguru,95,move,2,Trick Room,94.1%,,,,,,,,
Oranguru,95,move,3,Protect,48.5%,,,,,,,,
Oranguru,95,move,4,Psychic,39.0%,,,,,,,,
Oranguru,95,move,5,Encore,26.0%,,,,,,,,
Oranguru,95,move,6,Expanding Force,18.6%,,,,,,,,
Oranguru,95,move,7,Foul Play,8.5%,,,,,,,,
Oranguru,95,move,8,Yawn,6.9%,,,,,,,,
Oranguru,95,move,9,Light Screen,5.4%,,,,,,,,
Oranguru,95,move,10,Imprison,5.0%,,,,,,,,
Oranguru,95,held_item,1,Mental Herb,26.9%,,,,,,,,
Oranguru,95,held_item,2,Colbur Berry,25.3%,,,,,,,,
Oranguru,95,held_item,3,Sitrus Berry,22.2%,,,,,,,,
Oranguru,95,held_item,4,Leftovers,8.2%,,,,,,,,
Oranguru,95,held_item,5,Focus Sash,4.8%,,,,,,,,
Oranguru,95,held_item,6,Choice Scarf,2.5%,,,,,,,,
Oranguru,95,held_item,7,Psychic Seed,1.5%,,,,,,,,
Oranguru,95,held_item,8,Tanga Berry,1.3%,,,,,,,,
Oranguru,95,held_item,9,Life Orb,0.9%,,,,,,,,
Oranguru,95,held_item,10,Rocky Helmet,0.9%,,,,,,,,
Oranguru,95,teammate,1,Torkoal,,,,,,,,,
Oranguru,95,teammate,2,Golisopod,,,,,,,,,
Oranguru,95,teammate,3,Sylveon,,,,,,,,,
Oranguru,95,teammate,4,Indeedee-F,,,,,,,,,
Oranguru,95,teammate,5,Rillaboom,,,,,,,,,
Oranguru,95,teammate,6,Incineroar,,,,,,,,,
Oranguru,95,teammate,7,Camerupt,,,,,,,,,
Oranguru,95,teammate,8,Kingambit,,,,,,,,,
Oranguru,95,teammate,9,Hatterene,,,,,,,,,
Oranguru,95,teammate,10,Sneasler,,,,,,,,,
Oranguru,95,stat_alignment,1,Relaxed,42.5%,Defense,Speed,,,,,,
Oranguru,95,stat_alignment,2,Bold,21.1%,Defense,Attack,,,,,,
Oranguru,95,stat_alignment,3,Sassy,11.8%,Sp. Def,Speed,,,,,,
Oranguru,95,stat_alignment,4,Calm,7.4%,Sp. Def,Attack,,,,,,
Oranguru,95,stat_alignment,5,Quiet,6.4%,Sp. Atk,Speed,,,,,,
Oranguru,95,stat_alignment,6,Timid,4.5%,Speed,Attack,,,,,,
Oranguru,95,stat_alignment,7,Modest,3.9%,Sp. Atk,Attack,,,,,,
Oranguru,95,stat_alignment,8,Mild,0.8%,Sp. Atk,Defense,,,,,,
Oranguru,95,stat_alignment,9,Impish,0.7%,Defense,Sp. Atk,,,,,,
Oranguru,95,stat_alignment,10,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Oranguru,95,stat_points,1,,24.6%,,,32,0,32,0,2,0
Oranguru,95,stat_points,2,,9.0%,,,32,0,32,0,0,2
Oranguru,95,stat_points,3,,5.0%,,,32,0,20,0,14,0
Oranguru,95,stat_points,4,,3.6%,,,2,0,32,0,32,0
Oranguru,95,stat_points,5,,3.6%,,,32,0,30,0,4,0
Oranguru,95,stat_points,6,,3.0%,,,32,0,32,2,0,0
Oranguru,95,stat_points,7,,1.7%,,,32,0,32,0,0,0
Oranguru,95,stat_points,8,,1.6%,,,32,0,32,0,1,1
Oranguru,95,stat_points,9,,1.5%,,,32,0,2,0,0,32
Oranguru,95,stat_points,10,,1.5%,,,32,0,26,0,8,0
Oranguru,95,ability,1,Inner Focus,67.1%,,,,,,,,
Oranguru,95,ability,2,Telepathy,28.8%,,,,,,,,
Oranguru,95,ability,3,Symbiosis,4.1%,,,,,,,,
