pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dragalge,143,move,1,Sludge Bomb,82.0%,,,,,,,,
Dragalge,143,move,2,Protect,76.3%,,,,,,,,
Dragalge,143,move,3,Draco Meteor,54.1%,,,,,,,,
Dragalge,143,move,4,Dragon Pulse,47.1%,,,,,,,,
Dragalge,143,move,5,Flip Turn,28.8%,,,,,,,,
Dragalge,143,move,6,Thunderbolt,22.9%,,,,,,,,
Dragalge,143,move,7,Sludge Wave,16.1%,,,,,,,,
Dragalge,143,move,8,Scald,14.0%,,,,,,,,
Dragalge,143,move,9,Toxic,9.7%,,,,,,,,
Dragalge,143,move,10,Focus Blast,8.2%,,,,,,,,
Dragalge,143,held_item,1,Dragalgite,66.5%,,,,,,,,
Dragalge,143,held_item,2,Life Orb,13.5%,,,,,,,,
Dragalge,143,held_item,3,Leftovers,3.6%,,,,,,,,
Dragalge,143,held_item,4,Poison Barb,2.6%,,,,,,,,
Dragalge,143,held_item,5,Quick Claw,2.2%,,,,,,,,
Dragalge,143,held_item,6,Sitrus Berry,1.6%,,,,,,,,
Dragalge,143,held_item,7,White Herb,1.6%,,,,,,,,
Dragalge,143,held_item,8,Scope Lens,1.4%,,,,,,,,
Dragalge,143,held_item,9,Haban Berry,1.4%,,,,,,,,
Dragalge,143,held_item,10,Expert Belt,1.1%,,,,,,,,
Dragalge,143,teammate,1,Golisopod,,,,,,,,,
Dragalge,143,teammate,2,Farigiraf,,,,,,,,,
Dragalge,143,teammate,3,Indeedee-F,,,,,,,,,
Dragalge,143,teammate,4,Incineroar,,,,,,,,,
Dragalge,143,teammate,5,Rillaboom,,,,,,,,,
Dragalge,143,teammate,6,Armarouge,,,,,,,,,
Dragalge,143,teammate,7,Torkoal,,,,,,,,,
Dragalge,143,teammate,8,Sinistcha,,,,,,,,,
Dragalge,143,teammate,9,Archaludon,,,,,,,,,
Dragalge,143,teammate,10,Pelipper,,,,,,,,,
Dragalge,143,stat_alignment,1,Quiet,50.0%,Sp. Atk,Speed,,,,,,
Dragalge,143,stat_alignment,2,Modest,29.2%,Sp. Atk,Attack,,,,,,
Dragalge,143,stat_alignment,3,Sassy,6.7%,Sp. Def,Speed,,,,,,
Dragalge,143,stat_alignment,4,Calm,5.2%,Sp. Def,Attack,,,,,,
Dragalge,143,stat_alignment,5,Relaxed,4.2%,Defense,Speed,,,,,,
Dragalge,143,stat_alignment,6,Bold,3.3%,Defense,Attack,,,,,,
Dragalge,143,stat_alignment,7,Timid,0.4%,Speed,Attack,,,,,,
Dragalge,143,stat_alignment,8,Mild,0.4%,Sp. Atk,Defense,,,,,,
Dragalge,143,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Dragalge,143,stat_alignment,10,Adamant,0.1%,Attack,Sp. Atk,,,,,,
Dragalge,143,stat_points,1,,34.8%,,,32,0,2,32,0,0
Dragalge,143,stat_points,2,,8.8%,,,32,0,0,32,2,0
Dragalge,143,stat_points,3,,4.0%,,,29,0,5,32,0,0
Dragalge,143,stat_points,4,,2.7%,,,2,0,0,32,32,0
Dragalge,143,stat_points,5,,2.6%,,,0,0,2,32,32,0
Dragalge,143,stat_points,6,,2.2%,,,32,0,5,29,0,0
Dragalge,143,stat_points,7,,2.1%,,,0,0,32,32,2,0
Dragalge,143,stat_points,8,,1.6%,,,2,0,32,32,0,0
Dragalge,143,stat_points,9,,1.6%,,,32,0,0,32,0,2
Dragalge,143,stat_points,10,,1.6%,,,32,0,11,23,0,0
Dragalge,143,ability,1,Adaptability,86.3%,,,,,,,,
Dragalge,143,ability,2,Poison Point,11.1%,,,,,,,,
Dragalge,143,ability,3,Poison Touch,2.6%,,,,,,,,
