pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Venusaur,42,move,1,Sludge Bomb,93.3%,,,,,,,,
Venusaur,42,move,2,Protect,78.8%,,,,,,,,
Venusaur,42,move,3,Sleep Powder,56.2%,,,,,,,,
Venusaur,42,move,4,Earth Power,63.1%,,,,,,,,
Venusaur,42,move,5,Leaf Storm,24.8%,,,,,,,,
Venusaur,42,move,6,Giga Drain,46.5%,,,,,,,,
Venusaur,42,move,7,Energy Ball,8.9%,,,,,,,,
Venusaur,42,move,8,Solar Beam,7.1%,,,,,,,,
Venusaur,42,move,9,Weather Ball,3.1%,,,,,,,,
Venusaur,42,move,10,Leech Seed,2.4%,,,,,,,,
Venusaur,42,held_item,1,Focus Sash,36.0%,,,,,,,,
Venusaur,42,held_item,2,Life Orb,18.5%,,,,,,,,
Venusaur,42,held_item,3,Venusaurite,26.3%,,,,,,,,
Venusaur,42,held_item,4,Wide Lens,9.8%,,,,,,,,
Venusaur,42,held_item,5,Occa Berry,2.3%,,,,,,,,
Venusaur,42,held_item,6,Leftovers,1.5%,,,,,,,,
Venusaur,42,held_item,7,Expert Belt,1.4%,,,,,,,,
Venusaur,42,held_item,8,Sitrus Berry,1.3%,,,,,,,,
Venusaur,42,held_item,9,Miracle Seed,0.5%,,,,,,,,
Venusaur,42,held_item,10,Bright Powder,0.4%,,,,,,,,
Venusaur,42,teammate,1,Charizard,,,,,,,,,
Venusaur,42,teammate,2,Archaludon,,,,,,,,,
Venusaur,42,teammate,3,Pelipper,,,,,,,,,
Venusaur,42,teammate,4,Grimmsnarl,,,,,,,,,
Venusaur,42,teammate,5,Basculegion Male,,,,,,,,,
Venusaur,42,teammate,6,Indeedee Female,,,,,,,,,
Venusaur,42,teammate,7,Sneasler,,,,,,,,,
Venusaur,42,teammate,8,Gardevoir,,,,,,,,,
Venusaur,42,teammate,9,Garchomp,,,,,,,,,
Venusaur,42,teammate,10,Golisopod,,,,,,,,,
Venusaur,42,stat_alignment,1,Modest,82.7%,Sp. Atk,Attack,,,,,,
Venusaur,42,stat_alignment,2,Timid,11.8%,Speed,Attack,,,,,,
Venusaur,42,stat_alignment,3,Bold,2.4%,Defense,Attack,,,,,,
Venusaur,42,stat_alignment,4,Calm,2.0%,Sp. Def,Attack,,,,,,
Venusaur,42,stat_alignment,5,Quiet,0.6%,Sp. Atk,Speed,,,,,,
Venusaur,42,stat_alignment,6,Docile,0.1%,Speed,Defense,,,,,,
Venusaur,42,stat_alignment,7,Mild,0.1%,Sp. Atk,Defense,,,,,,
Venusaur,42,stat_alignment,8,Lonely,0.0%,Attack,Defense,,,,,,
Venusaur,42,stat_alignment,9,Sassy,0.0%,Sp. Def,Speed,,,,,,
Venusaur,42,stat_alignment,10,Hasty,0.0%,Speed,Defense,,,,,,
Venusaur,42,stat_points,1,,35.7%,,,2,0,0,32,0,32
Venusaur,42,stat_points,2,,8.0%,,,1,0,0,32,1,32
Venusaur,42,stat_points,3,,3.1%,,,0,0,2,32,0,32
Venusaur,42,stat_points,4,,2.4%,,,4,0,0,30,0,32
Venusaur,42,stat_points,5,,2.3%,,,32,0,2,32,0,0
Venusaur,42,stat_points,6,,1.9%,,,32,0,0,32,0,2
Venusaur,42,stat_points,7,,1.6%,,,1,0,0,23,19,23
Venusaur,42,stat_points,8,,1.3%,,,32,0,0,20,0,14
Venusaur,42,stat_points,9,,1.3%,,,30,0,0,18,0,18
Venusaur,42,stat_points,10,,1.2%,,,0,0,0,32,2,32
Venusaur,42,ability,1,Chlorophyll,98.0%,,,,,,,,
Venusaur,42,ability,2,Overgrow,2.0%,,,,,,,,
