pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slurpuff,163,move,1,Sticky Web,82.5%,,,,,,,,
Slurpuff,163,move,2,Yawn,72.3%,,,,,,,,
Slurpuff,163,move,3,Endeavor,61.8%,,,,,,,,
Slurpuff,163,move,4,Dazzling Gleam,45.8%,,,,,,,,
Slurpuff,163,move,5,Misty Explosion,26.0%,,,,,,,,
Slurpuff,163,move,6,Draining Kiss,17.0%,,,,,,,,
Slurpuff,163,move,7,Cotton Guard,14.5%,,,,,,,,
Slurpuff,163,move,8,Flamethrower,13.6%,,,,,,,,
Slurpuff,163,move,9,Calm Mind,13.4%,,,,,,,,
Slurpuff,163,move,10,Surf,5.5%,,,,,,,,
Slurpuff,163,held_item,1,Sitrus Berry,31.1%,,,,,,,,
Slurpuff,163,held_item,2,Focus Sash,28.6%,,,,,,,,
Slurpuff,163,held_item,3,Oran Berry,9.0%,,,,,,,,
Slurpuff,163,held_item,4,Leftovers,2.2%,,,,,,,,
Slurpuff,163,held_item,5,Babiri Berry,1.7%,,,,,,,,
Slurpuff,163,held_item,6,Chesto Berry,1.3%,,,,,,,,
Slurpuff,163,held_item,7,Lum Berry,1.2%,,,,,,,,
Slurpuff,163,held_item,8,Mental Herb,1.1%,,,,,,,,
Slurpuff,163,held_item,9,Quick Claw,0.5%,,,,,,,,
Slurpuff,163,held_item,10,Fairy Feather,0.5%,,,,,,,,
Slurpuff,163,teammate,1,Garchomp,,,,,,,,,
Slurpuff,163,teammate,2,Raichu,,,,,,,,,
Slurpuff,163,teammate,3,Archaludon,,,,,,,,,
Slurpuff,163,teammate,4,Gyarados,,,,,,,,,
Slurpuff,163,teammate,5,Hydreigon,,,,,,,,,
Slurpuff,163,teammate,6,Mimikyu,,,,,,,,,
Slurpuff,163,teammate,7,Staraptor,,,,,,,,,
Slurpuff,163,teammate,8,Meowscarada,,,,,,,,,
Slurpuff,163,teammate,9,Basculegion Male,,,,,,,,,
Slurpuff,163,teammate,10,Charizard,,,,,,,,,
Slurpuff,163,stat_alignment,1,Timid,31.2%,Speed,Attack,,,,,,
Slurpuff,163,stat_alignment,2,Bold,27.4%,Defense,Attack,,,,,,
Slurpuff,163,stat_alignment,3,Calm,15.1%,Sp. Def,Attack,,,,,,
Slurpuff,163,stat_alignment,4,Modest,13.8%,Sp. Atk,Attack,,,,,,
Slurpuff,163,stat_alignment,5,Hasty,4.9%,Speed,Defense,,,,,,
Slurpuff,163,stat_alignment,6,Quiet,1.4%,Sp. Atk,Speed,,,,,,
Slurpuff,163,stat_alignment,7,Mild,0.9%,Sp. Atk,Defense,,,,,,
Slurpuff,163,stat_alignment,8,Naive,0.8%,Speed,Sp. Def,,,,,,
Slurpuff,163,stat_alignment,9,Brave,0.7%,Attack,Speed,,,,,,
Slurpuff,163,stat_alignment,10,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Slurpuff,163,stat_points,1,,17.2%,,,2,0,0,32,0,32
Slurpuff,163,stat_points,2,,6.8%,,,32,0,11,0,20,3
Slurpuff,163,stat_points,3,,5.4%,,,0,0,0,32,0,32
Slurpuff,163,stat_points,4,,3.3%,,,0,0,0,32,2,32
Slurpuff,163,stat_points,5,,1.9%,,,32,0,32,0,2,0
Slurpuff,163,stat_points,6,,1.6%,,,0,2,0,32,0,32
Slurpuff,163,stat_points,7,,1.6%,,,2,0,32,0,32,0
Slurpuff,163,stat_points,8,,1.6%,,,32,0,0,0,19,15
Slurpuff,163,ability,1,Unburden,87.8%,,,,,,,,
Slurpuff,163,ability,2,Sweet Veil,12.2%,,,,,,,,
