pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Espeon,91,move,1,Psychic,73.8%,,,,,,,,
Espeon,91,move,2,Alluring Voice,47.3%,,,,,,,,
Espeon,91,move,3,Power Gem,34.5%,,,,,,,,
Espeon,91,move,4,Trick,31.3%,,,,,,,,
Espeon,91,move,5,Grass Knot,29.9%,,,,,,,,
Espeon,91,move,6,Shadow Ball,29.2%,,,,,,,,
Espeon,91,move,7,Yawn,24.2%,,,,,,,,
Espeon,91,move,8,Dazzling Gleam,18.5%,,,,,,,,
Espeon,91,move,9,Calm Mind,17.2%,,,,,,,,
Espeon,91,move,10,Reflect,1.7%,,,,,,,,
Espeon,91,held_item,1,Choice Scarf,35.8%,,,,,,,,
Espeon,91,held_item,2,Focus Sash,21.9%,,,,,,,,
Espeon,91,held_item,3,Light Clay,9.5%,,,,,,,,
Espeon,91,held_item,4,Sitrus Berry,7.7%,,,,,,,,
Espeon,91,held_item,5,Life Orb,5.9%,,,,,,,,
Espeon,91,held_item,6,Leftovers,4.9%,,,,,,,,
Espeon,91,held_item,7,Expert Belt,3.1%,,,,,,,,
Espeon,91,held_item,8,Bright Powder,2.1%,,,,,,,,
Espeon,91,held_item,9,Wise Glasses,1.6%,,,,,,,,
Espeon,91,held_item,10,Twisted Spoon,1.4%,,,,,,,,
Espeon,91,teammate,1,Umbreon,,,,,,,,,
Espeon,91,teammate,2,Garchomp,,,,,,,,,
Espeon,91,teammate,3,Charizard,,,,,,,,,
Espeon,91,teammate,4,Sylveon,,,,,,,,,
Espeon,91,teammate,5,Gyarados,,,,,,,,,
Espeon,91,teammate,6,Mimikyu,,,,,,,,,
Espeon,91,teammate,7,Vaporeon,,,,,,,,,
Espeon,91,teammate,8,Meowscarada,,,,,,,,,
Espeon,91,teammate,9,Blaziken,,,,,,,,,
Espeon,91,teammate,10,Raichu,,,,,,,,,
Espeon,91,stat_alignment,1,Timid,58.7%,Speed,Attack,,,,,,
Espeon,91,stat_alignment,2,Modest,27.1%,Sp. Atk,Attack,,,,,,
Espeon,91,stat_alignment,3,Bold,6.4%,Defense,Attack,,,,,,
Espeon,91,stat_alignment,4,Calm,3.9%,Sp. Def,Attack,,,,,,
Espeon,91,stat_alignment,5,Mild,0.6%,Sp. Atk,Defense,,,,,,
Espeon,91,stat_alignment,6,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Espeon,91,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Espeon,91,stat_alignment,8,Relaxed,0.2%,Defense,Speed,,,,,,
Espeon,91,stat_alignment,9,Gentle,0.2%,Sp. Def,Defense,,,,,,
Espeon,91,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Espeon,91,stat_points,1,,30.8%,,,2,0,0,32,0,32
Espeon,91,stat_points,2,,8.7%,,,0,0,0,32,2,32
Espeon,91,stat_points,3,,6.8%,,,1,0,1,32,0,32
Espeon,91,stat_points,4,,5.9%,,,0,0,2,32,0,32
Espeon,91,stat_points,5,,3.6%,,,1,0,0,32,1,32
Espeon,91,stat_points,6,,2.3%,,,3,0,6,32,0,25
Espeon,91,stat_points,7,,1.5%,,,32,0,2,0,0,32
Espeon,91,stat_points,8,,1.3%,,,32,0,0,2,0,32
Espeon,91,ability,1,Magic Bounce,98.2%,,,,,,,,
Espeon,91,ability,2,Synchronize,1.8%,,,,,,,,
