pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pangoro,189,move,1,Bullet Punch,69.8%,,,,,,,,
Pangoro,189,move,2,Darkest Lariat,57.7%,,,,,,,,
Pangoro,189,move,3,Drain Punch,37.1%,,,,,,,,
Pangoro,189,move,4,Close Combat,35.8%,,,,,,,,
Pangoro,189,move,5,Ice Punch,29.9%,,,,,,,,
Pangoro,189,move,6,Headlong Rush,24.8%,,,,,,,,
Pangoro,189,move,7,Comeuppance,24.7%,,,,,,,,
Pangoro,189,move,8,Gunk Shot,12.2%,,,,,,,,
Pangoro,189,move,9,Storm Throw,12.1%,,,,,,,,
Pangoro,189,move,10,Thunder Punch,10.0%,,,,,,,,
Pangoro,189,held_item,1,Focus Sash,36.2%,,,,,,,,
Pangoro,189,held_item,2,Life Orb,17.3%,,,,,,,,
Pangoro,189,held_item,3,Leftovers,7.8%,,,,,,,,
Pangoro,189,held_item,4,Sitrus Berry,6.6%,,,,,,,,
Pangoro,189,held_item,5,Expert Belt,6.5%,,,,,,,,
Pangoro,189,held_item,6,Roseli Berry,3.8%,,,,,,,,
Pangoro,189,held_item,7,Lum Berry,3.7%,,,,,,,,
Pangoro,189,held_item,8,Chople Berry,3.3%,,,,,,,,
Pangoro,189,held_item,9,Quick Claw,3.0%,,,,,,,,
Pangoro,189,held_item,10,Choice Scarf,2.8%,,,,,,,,
Pangoro,189,teammate,1,Meowscarada,,,,,,,,,
Pangoro,189,teammate,2,Kleavor,,,,,,,,,
Pangoro,189,teammate,3,Charizard,,,,,,,,,
Pangoro,189,teammate,4,Greninja,,,,,,,,,
Pangoro,189,teammate,5,Staraptor,,,,,,,,,
Pangoro,189,teammate,6,Basculegion Male,,,,,,,,,
Pangoro,189,teammate,7,Excadrill,,,,,,,,,
Pangoro,189,teammate,8,Ceruledge,,,,,,,,,
Pangoro,189,teammate,9,Gholdengo,,,,,,,,,
Pangoro,189,teammate,10,Garchomp,,,,,,,,,
Pangoro,189,stat_alignment,1,Adamant,61.4%,Attack,Sp. Atk,,,,,,
Pangoro,189,stat_alignment,2,Brave,19.7%,Attack,Speed,,,,,,
Pangoro,189,stat_alignment,3,Jolly,10.8%,Speed,Sp. Atk,,,,,,
Pangoro,189,stat_alignment,4,Impish,2.5%,Defense,Sp. Atk,,,,,,
Pangoro,189,stat_alignment,5,Naughty,1.8%,Attack,Sp. Def,,,,,,
Pangoro,189,stat_alignment,6,Relaxed,0.9%,Defense,Speed,,,,,,
Pangoro,189,stat_alignment,7,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,
Pangoro,189,stat_alignment,8,Sassy,0.6%,Sp. Def,Speed,,,,,,
Pangoro,189,stat_alignment,9,Lonely,0.5%,Attack,Defense,,,,,,
Pangoro,189,stat_alignment,10,Naive,0.3%,Speed,Sp. Def,,,,,,
Pangoro,189,stat_points,1,,17.7%,,,32,32,2,0,0,0
Pangoro,189,stat_points,2,,12.1%,,,32,32,0,0,2,0
Pangoro,189,stat_points,3,,11.0%,,,2,32,0,0,0,32
Pangoro,189,stat_points,4,,7.8%,,,1,32,1,0,0,32
Pangoro,189,stat_points,5,,3.7%,,,32,32,0,0,0,2
Pangoro,189,stat_points,6,,2.2%,,,32,32,0,0,0,0
Pangoro,189,stat_points,7,,2.1%,,,2,32,32,0,0,0
Pangoro,189,stat_points,8,,2.1%,,,0,32,32,0,2,0
Pangoro,189,ability,1,Scrappy,37.9%,,,,,,,,
Pangoro,189,ability,2,Iron Fist,32.3%,,,,,,,,
Pangoro,189,ability,3,Mold Breaker,29.9%,,,,,,,,
