pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kleavor,73,move,1,Stone Axe,99.8%,,,,,,,,
Kleavor,73,move,2,X-Scissor,73.8%,,,,,,,,
Kleavor,73,move,3,Night Slash,47.5%,,,,,,,,
Kleavor,73,move,4,Close Combat,47.4%,,,,,,,,
Kleavor,73,move,5,U-turn,26.5%,,,,,,,,
Kleavor,73,move,6,Feint,16.8%,,,,,,,,
Kleavor,73,move,7,Tailwind,14.8%,,,,,,,,
Kleavor,73,move,8,Brick Break,14.1%,,,,,,,,
Kleavor,73,move,9,Quick Attack,13.1%,,,,,,,,
Kleavor,73,move,10,Counter,7.6%,,,,,,,,
Kleavor,73,held_item,1,Focus Sash,58.3%,,,,,,,,
Kleavor,73,held_item,2,Choice Scarf,27.4%,,,,,,,,
Kleavor,73,held_item,3,Life Orb,3.2%,,,,,,,,
Kleavor,73,held_item,4,Sitrus Berry,2.4%,,,,,,,,
Kleavor,73,held_item,5,Quick Claw,2.0%,,,,,,,,
Kleavor,73,held_item,6,Wide Lens,1.2%,,,,,,,,
Kleavor,73,held_item,7,Hard Stone,0.9%,,,,,,,,
Kleavor,73,held_item,8,Muscle Band,0.8%,,,,,,,,
Kleavor,73,held_item,9,Expert Belt,0.4%,,,,,,,,
Kleavor,73,held_item,10,Lum Berry,0.4%,,,,,,,,
Kleavor,73,teammate,1,Garchomp,,,,,,,,,
Kleavor,73,teammate,2,Volcarona,,,,,,,,,
Kleavor,73,teammate,3,Scizor,,,,,,,,,
Kleavor,73,teammate,4,Meowscarada,,,,,,,,,
Kleavor,73,teammate,5,Mimikyu,,,,,,,,,
Kleavor,73,teammate,6,Archaludon,,,,,,,,,
Kleavor,73,teammate,7,Basculegion Male,,,,,,,,,
Kleavor,73,teammate,8,Charizard,,,,,,,,,
Kleavor,73,teammate,9,Metagross,,,,,,,,,
Kleavor,73,teammate,10,Delphox,,,,,,,,,
Kleavor,73,stat_alignment,1,Adamant,52.6%,Attack,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,2,Jolly,40.4%,Speed,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,3,Impish,1.3%,Defense,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,4,Naughty,1.0%,Attack,Sp. Def,,,,,,
Kleavor,73,stat_alignment,5,Brave,1.0%,Attack,Speed,,,,,,
Kleavor,73,stat_alignment,6,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,
Kleavor,73,stat_alignment,7,Hasty,0.7%,Speed,Defense,,,,,,
Kleavor,73,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Kleavor,73,stat_alignment,9,Naive,0.6%,Speed,Sp. Def,,,,,,
Kleavor,73,stat_alignment,10,Sassy,0.4%,Sp. Def,Speed,,,,,,
Kleavor,73,stat_points,1,,57.5%,,,2,32,0,0,0,32
Kleavor,73,stat_points,2,,10.1%,,,0,32,2,0,0,32
Kleavor,73,stat_points,3,,6.4%,,,0,32,0,0,2,32
Kleavor,73,stat_points,4,,2.8%,,,0,32,0,0,0,32
Kleavor,73,stat_points,5,,2.0%,,,32,32,2,0,0,0
Kleavor,73,stat_points,6,,1.4%,,,0,32,1,0,1,32
Kleavor,73,stat_points,7,,1.0%,,,2,32,32,0,0,0
Kleavor,73,stat_points,8,,0.9%,,,32,32,0,0,2,0
Kleavor,73,ability,1,Sharpness,97.7%,,,,,,,,
Kleavor,73,ability,2,Swarm,1.5%,,,,,,,,
Kleavor,73,ability,3,Sheer Force,0.7%,,,,,,,,
