pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Politoed,33,move,1,Protect,82.8%,,,,,,,,
Politoed,33,move,2,Weather Ball,87.9%,,,,,,,,
Politoed,33,move,3,Ice Beam,31.5%,,,,,,,,
Politoed,33,move,4,Muddy Water,31.1%,,,,,,,,
Politoed,33,move,5,Perish Song,57.9%,,,,,,,,
Politoed,33,move,6,Encore,16.2%,,,,,,,,
Politoed,33,move,7,Helping Hand,10.9%,,,,,,,,
Politoed,33,move,8,Icy Wind,10.2%,,,,,,,,
Politoed,33,move,9,Hypnosis,20.0%,,,,,,,,
Politoed,33,move,10,Earth Power,15.5%,,,,,,,,
Politoed,33,held_item,1,Sitrus Berry,68.7%,,,,,,,,
Politoed,33,held_item,2,Life Orb,3.9%,,,,,,,,
Politoed,33,held_item,3,Mystic Water,6.7%,,,,,,,,
Politoed,33,held_item,4,Leftovers,4.4%,,,,,,,,
Politoed,33,held_item,5,Eject Button,4.0%,,,,,,,,
Politoed,33,held_item,6,Damp Rock,2.5%,,,,,,,,
Politoed,33,held_item,7,Choice Scarf,2.4%,,,,,,,,
Politoed,33,held_item,8,Grassy Seed,1.3%,,,,,,,,
Politoed,33,held_item,9,Bright Powder,1.2%,,,,,,,,
Politoed,33,held_item,10,Rindo Berry,1.2%,,,,,,,,
Politoed,33,teammate,1,Golisopod,,,,,,,,,
Politoed,33,teammate,2,Archaludon,,,,,,,,,
Politoed,33,teammate,3,Rillaboom,,,,,,,,,
Politoed,33,teammate,4,Farigiraf,,,,,,,,,
Politoed,33,teammate,5,Incineroar,,,,,,,,,
Politoed,33,teammate,6,Kingambit,,,,,,,,,
Politoed,33,teammate,7,Gengar,,,,,,,,,
Politoed,33,teammate,8,Pawmot,,,,,,,,,
Politoed,33,teammate,9,Staraptor,,,,,,,,,
Politoed,33,teammate,10,Sneasler,,,,,,,,,
Politoed,33,stat_alignment,1,Quiet,3.6%,Sp. Atk,Speed,,,,,,
Politoed,33,stat_alignment,2,Calm,36.1%,Sp. Def,Attack,,,,,,
Politoed,33,stat_alignment,3,Modest,22.2%,Sp. Atk,Attack,,,,,,
Politoed,33,stat_alignment,4,Bold,11.1%,Defense,Attack,,,,,,
Politoed,33,stat_alignment,5,Sassy,4.3%,Sp. Def,Speed,,,,,,
Politoed,33,stat_alignment,6,Timid,3.2%,Speed,Attack,,,,,,
Politoed,33,stat_alignment,7,Relaxed,2.2%,Defense,Speed,,,,,,
Politoed,33,stat_alignment,8,Mild,0.1%,Sp. Atk,Defense,,,,,,
Politoed,33,stat_alignment,9,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Politoed,33,stat_alignment,10,Docile,0.1%,Sp. Def,Defense,,,,,,
Politoed,33,stat_points,1,,20.7%,,,32,0,2,32,0,0
Politoed,33,stat_points,2,,9.6%,,,31,0,23,0,12,0
Politoed,33,stat_points,3,,3.2%,,,32,0,32,0,2,0
Politoed,33,stat_points,4,,2.2%,,,32,0,0,32,2,0
Politoed,33,stat_points,5,,2.2%,,,2,0,0,32,0,32
Politoed,33,stat_points,6,,1.9%,,,32,0,22,0,12,0
Politoed,33,stat_points,7,,1.9%,,,23,0,12,30,0,1
Politoed,33,stat_points,8,,1.8%,,,32,0,24,0,10,0
Politoed,33,stat_points,9,,1.6%,,,32,0,25,0,9,0
Politoed,33,stat_points,10,,1.3%,,,31,0,25,0,10,0
Politoed,33,ability,1,Drizzle,99.8%,,,,,,,,
Politoed,33,ability,2,Water Absorb,0.1%,,,,,,,,
Politoed,33,ability,3,Damp,0.1%,,,,,,,,
