pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Torkoal,116,move,1,Stealth Rock,76.4%,,,,,,,,
Torkoal,116,move,2,Yawn,72.2%,,,,,,,,
Torkoal,116,move,3,Overheat,33.3%,,,,,,,,
Torkoal,116,move,4,Self-Destruct,29.7%,,,,,,,,
Torkoal,116,move,5,Solar Beam,26.6%,,,,,,,,
Torkoal,116,move,6,Flamethrower,18.8%,,,,,,,,
Torkoal,116,move,7,Will-O-Wisp,15.1%,,,,,,,,
Torkoal,116,move,8,Lava Plume,13.9%,,,,,,,,
Torkoal,116,move,9,Eruption,13.6%,,,,,,,,
Torkoal,116,move,10,Clear Smog,11.0%,,,,,,,,
Torkoal,116,held_item,1,Heat Rock,49.2%,,,,,,,,
Torkoal,116,held_item,2,Sitrus Berry,14.8%,,,,,,,,
Torkoal,116,held_item,3,Leftovers,6.8%,,,,,,,,
Torkoal,116,held_item,4,Charcoal,6.5%,,,,,,,,
Torkoal,116,held_item,5,Eject Button,4.1%,,,,,,,,
Torkoal,116,held_item,6,Rocky Helmet,3.8%,,,,,,,,
Torkoal,116,held_item,7,Air Balloon,3.2%,,,,,,,,
Torkoal,116,held_item,8,Red Card,2.0%,,,,,,,,
Torkoal,116,held_item,9,Quick Claw,1.3%,,,,,,,,
Torkoal,116,held_item,10,Life Orb,1.3%,,,,,,,,
Torkoal,116,teammate,1,Venusaur,,,,,,,,,
Torkoal,116,teammate,2,Garchomp,,,,,,,,,
Torkoal,116,teammate,3,Salamence,,,,,,,,,
Torkoal,116,teammate,4,Baxcalibur,,,,,,,,,
Torkoal,116,teammate,5,Charizard,,,,,,,,,
Torkoal,116,teammate,6,Golisopod,,,,,,,,,
Torkoal,116,teammate,7,Greninja,,,,,,,,,
Torkoal,116,teammate,8,Primarina,,,,,,,,,
Torkoal,116,teammate,9,Mimikyu,,,,,,,,,
Torkoal,116,teammate,10,Blastoise,,,,,,,,,
Torkoal,116,stat_alignment,1,Sassy,25.0%,Sp. Def,Speed,,,,,,
Torkoal,116,stat_alignment,2,Relaxed,20.8%,Defense,Speed,,,,,,
Torkoal,116,stat_alignment,3,Bold,17.1%,Defense,Attack,,,,,,
Torkoal,116,stat_alignment,4,Quiet,14.7%,Sp. Atk,Speed,,,,,,
Torkoal,116,stat_alignment,5,Calm,9.2%,Sp. Def,Attack,,,,,,
Torkoal,116,stat_alignment,6,Modest,8.6%,Sp. Atk,Attack,,,,,,
Torkoal,116,stat_alignment,7,Impish,1.3%,Defense,Sp. Atk,,,,,,
Torkoal,116,stat_alignment,8,Careful,1.2%,Sp. Def,Sp. Atk,,,,,,
Torkoal,116,stat_alignment,9,Brave,1.2%,Attack,Speed,,,,,,
Torkoal,116,stat_alignment,10,Adamant,0.4%,Attack,Sp. Atk,,,,,,
Torkoal,116,stat_points,1,,18.7%,,,32,0,2,0,32,0
Torkoal,116,stat_points,2,,11.8%,,,32,0,32,0,2,0
Torkoal,116,stat_points,3,,10.3%,,,32,0,4,0,30,0
Torkoal,116,stat_points,4,,7.0%,,,32,0,0,32,2,0
Torkoal,116,stat_points,5,,5.3%,,,32,0,2,32,0,0
Torkoal,116,stat_points,6,,3.2%,,,32,0,32,2,0,0
Torkoal,116,stat_points,7,,2.3%,,,2,0,32,32,0,0
Torkoal,116,stat_points,8,,1.9%,,,30,0,4,0,32,0
Torkoal,116,stat_points,9,,1.7%,,,0,0,32,32,2,0
Torkoal,116,stat_points,10,,1.5%,,,32,0,21,0,13,0
Torkoal,116,ability,1,Drought,96.6%,,,,,,,,
Torkoal,116,ability,2,Shell Armor,2.5%,,,,,,,,
Torkoal,116,ability,3,White Smoke,0.9%,,,,,,,,
