pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Houndoom,124,move,1,Heat Wave,94.0%,,,,,,,,
Houndoom,124,move,2,Protect,89.6%,,,,,,,,
Houndoom,124,move,3,Dark Pulse,52.1%,,,,,,,,
Houndoom,124,move,4,Snarl,48.6%,,,,,,,,
Houndoom,124,move,5,Sucker Punch,43.4%,,,,,,,,
Houndoom,124,move,6,Overheat,19.2%,,,,,,,,
Houndoom,124,move,7,Solar Beam,15.5%,,,,,,,,
Houndoom,124,move,8,Scorching Sands,6.5%,,,,,,,,
Houndoom,124,move,9,Nasty Plot,6.3%,,,,,,,,
Houndoom,124,move,10,Sludge Bomb,6.0%,,,,,,,,
Houndoom,124,held_item,1,Houndoominite,49.9%,,,,,,,,
Houndoom,124,held_item,2,Focus Sash,41.5%,,,,,,,,
Houndoom,124,held_item,3,Choice Scarf,1.7%,,,,,,,,
Houndoom,124,held_item,4,Life Orb,1.6%,,,,,,,,
Houndoom,124,held_item,5,Charcoal,1.5%,,,,,,,,
Houndoom,124,held_item,6,Chople Berry,1.0%,,,,,,,,
Houndoom,124,held_item,7,Black Glasses,0.7%,,,,,,,,
Houndoom,124,held_item,8,Bright Powder,0.3%,,,,,,,,
Houndoom,124,held_item,9,Wise Glasses,0.3%,,,,,,,,
Houndoom,124,held_item,10,Expert Belt,0.2%,,,,,,,,
Houndoom,124,teammate,1,Staraptor,,,,,,,,,
Houndoom,124,teammate,2,Gholdengo,,,,,,,,,
Houndoom,124,teammate,3,Feraligatr,,,,,,,,,
Houndoom,124,teammate,4,Vileplume,,,,,,,,,
Houndoom,124,teammate,5,Sceptile,,,,,,,,,
Houndoom,124,teammate,6,Torkoal,,,,,,,,,
Houndoom,124,teammate,7,Farigiraf,,,,,,,,,
Houndoom,124,teammate,8,Venusaur,,,,,,,,,
Houndoom,124,teammate,9,Annihilape,,,,,,,,,
Houndoom,124,teammate,10,Whimsicott,,,,,,,,,
Houndoom,124,stat_alignment,1,Timid,43.2%,Speed,Attack,,,,,,
Houndoom,124,stat_alignment,2,Hasty,38.6%,Speed,Defense,,,,,,
Houndoom,124,stat_alignment,3,Modest,12.5%,Sp. Atk,Attack,,,,,,
Houndoom,124,stat_alignment,4,Mild,2.1%,Sp. Atk,Defense,,,,,,
Houndoom,124,stat_alignment,5,Naive,0.8%,Speed,Sp. Def,,,,,,
Houndoom,124,stat_alignment,6,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Houndoom,124,stat_alignment,7,Rash,0.5%,Sp. Atk,Sp. Def,,,,,,
Houndoom,124,stat_alignment,8,Calm,0.4%,Sp. Def,Attack,,,,,,
Houndoom,124,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Houndoom,124,stat_alignment,10,Bold,0.2%,Defense,Attack,,,,,,
Houndoom,124,stat_points,1,,34.7%,,,1,1,0,32,0,32
Houndoom,124,stat_points,2,,20.9%,,,2,0,0,32,0,32
Houndoom,124,stat_points,3,,17.5%,,,1,0,1,32,0,32
Houndoom,124,stat_points,4,,5.0%,,,0,0,0,32,2,32
Houndoom,124,stat_points,5,,4.9%,,,0,0,2,32,0,32
Houndoom,124,stat_points,6,,1.0%,,,32,0,2,32,0,0
Houndoom,124,stat_points,7,,0.8%,,,32,0,0,32,2,0
Houndoom,124,stat_points,8,,0.7%,,,1,0,0,32,1,32
Houndoom,124,ability,1,Flash Fire,93.6%,,,,,,,,
Houndoom,124,ability,2,Unnerve,5.4%,,,,,,,,
Houndoom,124,ability,3,Early Bird,1.1%,,,,,,,,
