pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Frost,178,move,1,Blizzard,97.5%,,,,,,,,
Rotom Frost,178,move,2,Thunderbolt,57.1%,,,,,,,,
Rotom Frost,178,move,3,Volt Switch,49.8%,,,,,,,,
Rotom Frost,178,move,4,Protect,32.5%,,,,,,,,
Rotom Frost,178,move,5,Electroweb,28.3%,,,,,,,,
Rotom Frost,178,move,6,Will-O-Wisp,24.8%,,,,,,,,
Rotom Frost,178,move,7,Discharge,19.8%,,,,,,,,
Rotom Frost,178,move,8,Trick,18.3%,,,,,,,,
Rotom Frost,178,move,9,Shadow Ball,10.7%,,,,,,,,
Rotom Frost,178,move,10,Thunder,7.9%,,,,,,,,
Rotom Frost,178,held_item,1,Choice Scarf,51.6%,,,,,,,,
Rotom Frost,178,held_item,2,Sitrus Berry,9.9%,,,,,,,,
Rotom Frost,178,held_item,3,Never-Melt Ice,9.4%,,,,,,,,
Rotom Frost,178,held_item,4,Leftovers,7.4%,,,,,,,,
Rotom Frost,178,held_item,5,Quick Claw,5.3%,,,,,,,,
Rotom Frost,178,held_item,6,Life Orb,4.8%,,,,,,,,
Rotom Frost,178,held_item,7,Focus Sash,4.4%,,,,,,,,
Rotom Frost,178,held_item,8,Wide Lens,3.5%,,,,,,,,
Rotom Frost,178,held_item,9,Magnet,3.3%,,,,,,,,
Rotom Frost,178,held_item,10,Wise Glasses,1.5%,,,,,,,,
Rotom Frost,178,teammate,1,Froslass,,,,,,,,,
Rotom Frost,178,teammate,2,Garchomp,,,,,,,,,
Rotom Frost,178,teammate,3,Sneasler,,,,,,,,,
Rotom Frost,178,teammate,4,Alolan Ninetales,,,,,,,,,
Rotom Frost,178,teammate,5,Incineroar,,,,,,,,,
Rotom Frost,178,teammate,6,Kingambit,,,,,,,,,
Rotom Frost,178,teammate,7,Basculegion Male,,,,,,,,,
Rotom Frost,178,teammate,8,Whimsicott,,,,,,,,,
Rotom Frost,178,teammate,9,Sinistcha,,,,,,,,,
Rotom Frost,178,teammate,10,Talonflame,,,,,,,,,
Rotom Frost,178,stat_alignment,1,Modest,49.9%,Sp. Atk,Attack,,,,,,
Rotom Frost,178,stat_alignment,2,Timid,32.8%,Speed,Attack,,,,,,
Rotom Frost,178,stat_alignment,3,Quiet,3.9%,Sp. Atk,Speed,,,,,,
Rotom Frost,178,stat_alignment,4,Bold,3.8%,Defense,Attack,,,,,,
Rotom Frost,178,stat_alignment,5,Calm,3.5%,Sp. Def,Attack,,,,,,
Rotom Frost,178,stat_alignment,6,Mild,3.0%,Sp. Atk,Defense,,,,,,
Rotom Frost,178,stat_alignment,7,Hasty,1.4%,Speed,Defense,,,,,,
Rotom Frost,178,stat_alignment,8,Sassy,1.0%,Sp. Def,Speed,,,,,,
Rotom Frost,178,stat_alignment,9,Gentle,0.7%,Sp. Def,Defense,,,,,,
Rotom Frost,178,stat_alignment,10,Relaxed,0.6%,Defense,Speed,,,,,,
Rotom Frost,178,stat_points,1,,28.8%,,,2,0,0,32,0,32
Rotom Frost,178,stat_points,2,,9.8%,,,0,0,0,32,2,32
Rotom Frost,178,stat_points,3,,8.0%,,,0,0,2,32,0,32
Rotom Frost,178,stat_points,4,,5.4%,,,32,0,2,32,0,0
Rotom Frost,178,stat_points,5,,3.4%,,,0,0,2,32,32,0
Rotom Frost,178,stat_points,6,,2.5%,,,32,0,0,32,2,0
Rotom Frost,178,stat_points,7,,2.3%,,,0,0,32,32,2,0
Rotom Frost,178,stat_points,8,,2.0%,,,0,0,0,32,0,32
Rotom Frost,178,stat_points,9,,1.7%,,,0,0,32,32,0,2
Rotom Frost,178,stat_points,10,,1.3%,,,0,0,0,32,32,2
Rotom Frost,178,ability,1,Levitate,100.0%,,,,,,,,
