pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Excadrill,30,move,1,Iron Head,97.3%,,,,,,,,,2695.31
Excadrill,30,move,2,Protect,94.0%,,,,,,,,,2695.31
Excadrill,30,move,3,Rock Slide,90.8%,,,,,,,,,2695.31
Excadrill,30,move,4,Earthquake,60.3%,,,,,,,,,2695.31
Excadrill,30,move,5,High Horsepower,39.8%,,,,,,,,,2695.31
Excadrill,30,move,6,Swords Dance,2.7%,,,,,,,,,2700.17
Excadrill,30,move,7,Drill Run,2.3%,,,,,,,,,2700.17
Excadrill,30,move,8,Brick Break,1.9%,,,,,,,,,2700.17
Excadrill,30,move,9,Stomping Tantrum,1.5%,,,,,,,,,2700.17
Excadrill,30,move,10,Horn Drill,1.5%,,,,,,,,,2700.17
Excadrill,30,held_item,1,Focus Sash,84.0%,,,,,,,,,2703.73
Excadrill,30,held_item,2,Life Orb,7.2%,,,,,,,,,2703.73
Excadrill,30,held_item,3,Excadrite,2.6%,,,,,,,,,2703.73
Excadrill,30,held_item,4,Choice Scarf,1.7%,,,,,,,,,2703.73
Excadrill,30,held_item,5,Sitrus Berry,0.5%,,,,,,,,,2703.73
Excadrill,30,held_item,6,Expert Belt,0.5%,,,,,,,,,2711.01
Excadrill,30,held_item,7,Soft Sand,0.5%,,,,,,,,,2711.01
Excadrill,30,held_item,8,Muscle Band,0.5%,,,,,,,,,2711.01
Excadrill,30,held_item,9,King's Rock,0.4%,,,,,,,,,2711.01
Excadrill,30,held_item,10,Lum Berry,0.3%,,,,,,,,,2711.01
Excadrill,30,teammate,1,Tyranitar,,,,,,,,,,2717.50
Excadrill,30,teammate,2,Staraptor,,,,,,,,,,2717.50
Excadrill,30,teammate,3,Sinistcha,,,,,,,,,,2717.50
Excadrill,30,teammate,4,Milotic,,,,,,,,,,2717.50
Excadrill,30,teammate,5,Gholdengo,,,,,,,,,,2717.50
Excadrill,30,teammate,6,Rotom Wash,,,,,,,,,,2720.38
Excadrill,30,teammate,7,Houndstone,,,,,,,,,,2720.38
Excadrill,30,teammate,8,Venusaur,,,,,,,,,,2720.38
Excadrill,30,teammate,9,Incineroar,,,,,,,,,,2720.38
Excadrill,30,teammate,10,Sneasler,,,,,,,,,,2720.38
Excadrill,30,stat_alignment,1,Adamant,64.2%,Attack,Sp. Atk,,,,,,,2722.40
Excadrill,30,stat_alignment,2,Jolly,32.8%,Speed,Sp. Atk,,,,,,,2722.40
Excadrill,30,stat_alignment,3,Naughty,0.7%,Attack,Sp. Def,,,,,,,2722.40
Excadrill,30,stat_alignment,4,Lonely,0.6%,Attack,Defense,,,,,,,2722.40
Excadrill,30,stat_alignment,5,Brave,0.5%,Attack,Speed,,,,,,,2722.40
Excadrill,30,stat_alignment,6,Naive,0.2%,Speed,Sp. Def,,,,,,,2725.39
Excadrill,30,stat_alignment,7,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,,2725.39
Excadrill,30,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,,2725.39
Excadrill,30,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,,2725.39
Excadrill,30,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,,2725.39
Excadrill,30,stat_points,1,,49.6%,,,2,32,0,0,0,32,2727.55
Excadrill,30,stat_points,2,,21.5%,,,0,32,0,0,2,32,2727.55
Excadrill,30,stat_points,3,,10.2%,,,0,32,2,0,0,32,2727.55
Excadrill,30,stat_points,4,,2.8%,,,0,32,1,0,1,32,2727.55
Excadrill,30,stat_points,5,,2.1%,,,1,32,1,0,0,32,2727.55
Excadrill,30,stat_points,6,,0.8%,,,1,32,0,0,1,32,2749.82
Excadrill,30,stat_points,7,,0.7%,,,32,32,2,0,0,0,2749.82
Excadrill,30,stat_points,8,,0.5%,,,32,32,0,0,2,0,2749.82
Excadrill,30,ability,1,Sand Rush,93.2%,,,,,,,,,2763.99
Excadrill,30,ability,2,Mold Breaker,4.6%,,,,,,,,,2763.99
Excadrill,30,ability,3,Sand Force,2.2%,,,,,,,,,2763.99
