pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tsareena,43,move,1,Triple Axel,87.8%,,,,,,,,
Tsareena,43,move,2,Protect,61.4%,,,,,,,,
Tsareena,43,move,3,Power Whip,55.1%,,,,,,,,
Tsareena,43,move,4,Trop Kick,42.5%,,,,,,,,
Tsareena,43,move,5,High Jump Kick,38.1%,,,,,,,,
Tsareena,43,move,6,Low Kick,30.8%,,,,,,,,
Tsareena,43,move,7,Taunt,23.3%,,,,,,,,
Tsareena,43,move,8,U-turn,14.5%,,,,,,,,
Tsareena,43,move,9,Knock Off,13.2%,,,,,,,,
Tsareena,43,move,10,Helping Hand,9.4%,,,,,,,,
Tsareena,43,held_item,1,Wide Lens,59.1%,,,,,,,,
Tsareena,43,held_item,2,Choice Scarf,11.1%,,,,,,,,
Tsareena,43,held_item,3,Sitrus Berry,8.4%,,,,,,,,
Tsareena,43,held_item,4,Focus Sash,7.7%,,,,,,,,
Tsareena,43,held_item,5,Life Orb,3.8%,,,,,,,,
Tsareena,43,held_item,6,Occa Berry,2.7%,,,,,,,,
Tsareena,43,held_item,7,Quick Claw,2.2%,,,,,,,,
Tsareena,43,held_item,8,Expert Belt,2.2%,,,,,,,,
Tsareena,43,held_item,9,Miracle Seed,1.8%,,,,,,,,
Tsareena,43,held_item,10,Leftovers,1.2%,,,,,,,,
Tsareena,43,teammate,1,Whimsicott,,,,,,,,,
Tsareena,43,teammate,2,Garchomp,,,,,,,,,
Tsareena,43,teammate,3,Sneasler,,,,,,,,,
Tsareena,43,teammate,4,Kingambit,,,,,,,,,
Tsareena,43,teammate,5,Raichu,,,,,,,,,
Tsareena,43,teammate,6,Basculegion Male,,,,,,,,,
Tsareena,43,teammate,7,Aerodactyl,,,,,,,,,
Tsareena,43,teammate,8,Milotic,,,,,,,,,
Tsareena,43,teammate,9,Delphox,,,,,,,,,
Tsareena,43,teammate,10,Talonflame,,,,,,,,,
Tsareena,43,stat_alignment,1,Adamant,63.1%,Attack,Sp. Atk,,,,,,
Tsareena,43,stat_alignment,2,Jolly,24.9%,Speed,Sp. Atk,,,,,,
Tsareena,43,stat_alignment,3,Brave,5.9%,Attack,Speed,,,,,,
Tsareena,43,stat_alignment,4,Impish,2.4%,Defense,Sp. Atk,,,,,,
Tsareena,43,stat_alignment,5,Careful,1.3%,Sp. Def,Sp. Atk,,,,,,
Tsareena,43,stat_alignment,6,Lonely,0.5%,Attack,Defense,,,,,,
Tsareena,43,stat_alignment,7,Naughty,0.3%,Attack,Sp. Def,,,,,,
Tsareena,43,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,
Tsareena,43,stat_alignment,9,Relaxed,0.3%,Defense,Speed,,,,,,
Tsareena,43,stat_points,1,,28.2%,,,2,32,0,0,0,32
Tsareena,43,stat_points,2,,4.6%,,,0,32,0,0,2,32
Tsareena,43,stat_points,3,,3.8%,,,32,32,0,0,2,0
Tsareena,43,stat_points,4,,3.7%,,,0,32,2,0,0,32
Tsareena,43,stat_points,5,,3.6%,,,32,32,2,0,0,0
Tsareena,43,stat_points,6,,2.1%,,,32,32,1,0,1,0
Tsareena,43,stat_points,7,,1.8%,,,0,32,0,0,0,32
Tsareena,43,stat_points,8,,1.4%,,,0,32,1,0,1,32
Tsareena,43,stat_points,9,,1.2%,,,30,8,2,0,0,26
Tsareena,43,stat_points,10,,1.1%,,,0,32,32,0,2,0
Tsareena,43,ability,1,Queenly Majesty,98.9%,,,,,,,,
Tsareena,43,ability,2,Sweet Veil,1.0%,,,,,,,,
Tsareena,43,ability,3,Leaf Guard,0.1%,,,,,,,,
