pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Floette,27,move,1,Protect,97.3%,,,,,,,,
Floette,27,move,2,Dazzling Gleam,95.4%,,,,,,,,
Floette,27,move,3,Moonblast,66.7%,,,,,,,,
Floette,27,move,4,Light of Ruin,50.2%,,,,,,,,
Floette,27,move,5,Calm Mind,46.9%,,,,,,,,
Floette,27,move,6,Draining Kiss,29.9%,,,,,,,,
Floette,27,move,7,Psychic,4.2%,,,,,,,,
Floette,27,move,8,Helping Hand,3.0%,,,,,,,,
Floette,27,move,9,Giga Drain,1.7%,,,,,,,,
Floette,27,move,10,Energy Ball,1.1%,,,,,,,,
Floette,27,held_item,1,Floettite,98.9%,,,,,,,,
Floette,27,held_item,2,Choice Scarf,0.5%,,,,,,,,
Floette,27,held_item,3,Fairy Feather,0.2%,,,,,,,,
Floette,27,held_item,4,Life Orb,0.0%,,,,,,,,
Floette,27,held_item,5,Leftovers,0.0%,,,,,,,,
Floette,27,held_item,6,Wise Glasses,0.0%,,,,,,,,
Floette,27,held_item,7,Sitrus Berry,0.0%,,,,,,,,
Floette,27,held_item,8,Kebia Berry,0.0%,,,,,,,,
Floette,27,held_item,9,Delphoxite,0.0%,,,,,,,,
Floette,27,held_item,10,Babiri Berry,0.0%,,,,,,,,
Floette,27,teammate,1,Garchomp,,,,,,,,,
Floette,27,teammate,2,Kingambit,,,,,,,,,
Floette,27,teammate,3,Basculegion Male,,,,,,,,,
Floette,27,teammate,4,Whimsicott,,,,,,,,,
Floette,27,teammate,5,Charizard,,,,,,,,,
Floette,27,teammate,6,Incineroar,,,,,,,,,
Floette,27,teammate,7,Sinistcha,,,,,,,,,
Floette,27,teammate,8,Sneasler,,,,,,,,,
Floette,27,teammate,9,Delphox,,,,,,,,,
Floette,27,teammate,10,Farigiraf,,,,,,,,,
Floette,27,stat_alignment,1,Modest,56.7%,Sp. Atk,Attack,,,,,,
Floette,27,stat_alignment,2,Timid,40.7%,Speed,Attack,,,,,,
Floette,27,stat_alignment,3,Bold,1.9%,Defense,Attack,,,,,,
Floette,27,stat_alignment,4,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Floette,27,stat_alignment,5,Calm,0.0%,Sp. Def,Attack,,,,,,
Floette,27,stat_alignment,6,Brave,0.0%,Attack,Speed,,,,,,
Floette,27,stat_alignment,7,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Floette,27,stat_alignment,8,Relaxed,0.0%,Defense,Speed,,,,,,
Floette,27,stat_alignment,9,Mild,0.0%,Sp. Atk,Defense,,,,,,
Floette,27,stat_alignment,10,Adamant,0.0%,Attack,Sp. Atk,,,,,,
Floette,27,stat_points,1,,26.0%,,,2,0,0,32,0,32
Floette,27,stat_points,2,,7.3%,,,1,0,1,32,0,32
Floette,27,stat_points,3,,5.8%,,,10,0,23,1,0,32
Floette,27,stat_points,4,,4.0%,,,22,0,22,1,0,21
Floette,27,stat_points,5,,3.8%,,,8,0,1,25,0,32
Floette,27,stat_points,6,,1.7%,,,16,0,12,15,0,23
Floette,27,stat_points,7,,1.2%,,,32,0,2,32,0,0
Floette,27,stat_points,8,,1.1%,,,10,0,19,5,0,32
Floette,27,stat_points,9,,0.9%,,,4,0,25,5,0,32
Floette,27,stat_points,10,,0.8%,,,28,0,20,7,0,11
Floette,27,ability,1,Flower Veil,98.9%,,,,,,,,
Floette,27,ability,2,Symbiosis,1.1%,,,,,,,,
