pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Infernape,151,move,1,Fake Out,63.0%,,,,,,,,
Infernape,151,move,2,Fire Punch,41.2%,,,,,,,,
Infernape,151,move,3,Close Combat,38.8%,,,,,,,,
Infernape,151,move,4,Drain Punch,32.3%,,,,,,,,
Infernape,151,move,5,Thunder Punch,30.3%,,,,,,,,
Infernape,151,move,6,Protect,26.9%,,,,,,,,
Infernape,151,move,7,Flare Blitz,26.4%,,,,,,,,
Infernape,151,move,8,Mach Punch,19.7%,,,,,,,,
Infernape,151,move,9,Aura Sphere,13.7%,,,,,,,,
Infernape,151,move,10,Heat Wave,13.7%,,,,,,,,
Infernape,151,held_item,1,Focus Sash,47.4%,,,,,,,,
Infernape,151,held_item,2,Life Orb,22.0%,,,,,,,,
Infernape,151,held_item,3,Expert Belt,6.9%,,,,,,,,
Infernape,151,held_item,4,Muscle Band,5.4%,,,,,,,,
Infernape,151,held_item,5,White Herb,4.2%,,,,,,,,
Infernape,151,held_item,6,Sitrus Berry,3.2%,,,,,,,,
Infernape,151,held_item,7,Charcoal,2.7%,,,,,,,,
Infernape,151,held_item,8,Black Belt,2.6%,,,,,,,,
Infernape,151,held_item,9,Choice Scarf,2.5%,,,,,,,,
Infernape,151,held_item,10,Quick Claw,1.0%,,,,,,,,
Infernape,151,teammate,1,Whimsicott,,,,,,,,,
Infernape,151,teammate,2,Garchomp,,,,,,,,,
Infernape,151,teammate,3,Sinistcha,,,,,,,,,
Infernape,151,teammate,4,Charizard,,,,,,,,,
Infernape,151,teammate,5,Raichu,,,,,,,,,
Infernape,151,teammate,6,Staraptor,,,,,,,,,
Infernape,151,teammate,7,Kingambit,,,,,,,,,
Infernape,151,teammate,8,Aerodactyl,,,,,,,,,
Infernape,151,teammate,9,Sylveon,,,,,,,,,
Infernape,151,teammate,10,Dragonite,,,,,,,,,
Infernape,151,stat_alignment,1,Jolly,36.8%,Speed,Sp. Atk,,,,,,
Infernape,151,stat_alignment,2,Adamant,29.9%,Attack,Sp. Atk,,,,,,
Infernape,151,stat_alignment,3,Timid,10.4%,Speed,Attack,,,,,,
Infernape,151,stat_alignment,4,Naive,6.9%,Speed,Sp. Def,,,,,,
Infernape,151,stat_alignment,5,Modest,4.5%,Sp. Atk,Attack,,,,,,
Infernape,151,stat_alignment,6,Hasty,3.4%,Speed,Defense,,,,,,
Infernape,151,stat_alignment,7,Naughty,3.0%,Attack,Sp. Def,,,,,,
Infernape,151,stat_alignment,8,Lonely,1.7%,Attack,Defense,,,,,,
Infernape,151,stat_alignment,9,Impish,1.0%,Defense,Sp. Atk,,,,,,
Infernape,151,stat_alignment,10,Brave,0.8%,Attack,Speed,,,,,,
Infernape,151,stat_points,1,,35.6%,,,2,32,0,0,0,32
Infernape,151,stat_points,2,,8.9%,,,2,0,0,32,0,32
Infernape,151,stat_points,3,,7.8%,,,0,32,2,0,0,32
Infernape,151,stat_points,4,,6.9%,,,0,32,0,0,2,32
Infernape,151,stat_points,5,,3.4%,,,0,32,1,0,1,32
Infernape,151,stat_points,6,,1.4%,,,32,32,0,0,0,2
Infernape,151,stat_points,7,,1.2%,,,0,0,2,32,0,32
Infernape,151,stat_points,8,,1.1%,,,2,32,0,0,32,0
Infernape,151,stat_points,9,,0.9%,,,0,32,0,2,0,32
Infernape,151,stat_points,10,,0.9%,,,0,0,0,32,2,32
Infernape,151,ability,1,Iron Fist,62.9%,,,,,,,,
Infernape,151,ability,2,Blaze,37.1%,,,,,,,,
