pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Polteageist,208,move,1,Shadow Ball,85.5%,,,,,,,,
Polteageist,208,move,2,Shell Smash,59.3%,,,,,,,,
Polteageist,208,move,3,Stored Power,34.9%,,,,,,,,
Polteageist,208,move,4,Protect,32.2%,,,,,,,,
Polteageist,208,move,5,Giga Drain,28.6%,,,,,,,,
Polteageist,208,move,6,Baton Pass,28.2%,,,,,,,,
Polteageist,208,move,7,Trick Room,26.2%,,,,,,,,
Polteageist,208,move,8,Strength Sap,25.5%,,,,,,,,
Polteageist,208,move,9,Will-O-Wisp,16.1%,,,,,,,,
Polteageist,208,move,10,Dark Pulse,9.7%,,,,,,,,
Polteageist,208,held_item,1,Focus Sash,34.5%,,,,,,,,
Polteageist,208,held_item,2,White Herb,33.4%,,,,,,,,
Polteageist,208,held_item,3,Quick Claw,6.7%,,,,,,,,
Polteageist,208,held_item,4,Leftovers,4.2%,,,,,,,,
Polteageist,208,held_item,5,Sitrus Berry,3.6%,,,,,,,,
Polteageist,208,held_item,6,Colbur Berry,3.4%,,,,,,,,
Polteageist,208,held_item,7,Spell Tag,3.2%,,,,,,,,
Polteageist,208,held_item,8,Big Root,1.7%,,,,,,,,
Polteageist,208,held_item,9,Kasib Berry,1.6%,,,,,,,,
Polteageist,208,held_item,10,Wise Glasses,1.5%,,,,,,,,
Polteageist,208,teammate,1,Maushold,,,,,,,,,
Polteageist,208,teammate,2,Sinistcha,,,,,,,,,
Polteageist,208,teammate,3,Sylveon,,,,,,,,,
Polteageist,208,teammate,4,Whimsicott,,,,,,,,,
Polteageist,208,teammate,5,Incineroar,,,,,,,,,
Polteageist,208,teammate,6,Aerodactyl,,,,,,,,,
Polteageist,208,teammate,7,Kingambit,,,,,,,,,
Polteageist,208,teammate,8,Sneasler,,,,,,,,,
Polteageist,208,teammate,9,Sableye,,,,,,,,,
Polteageist,208,teammate,10,Charizard,,,,,,,,,
Polteageist,208,stat_alignment,1,Modest,29.6%,Sp. Atk,Attack,,,,,,
Polteageist,208,stat_alignment,2,Bold,20.5%,Defense,Attack,,,,,,
Polteageist,208,stat_alignment,3,Timid,16.2%,Speed,Attack,,,,,,
Polteageist,208,stat_alignment,4,Quiet,10.8%,Sp. Atk,Speed,,,,,,
Polteageist,208,stat_alignment,5,Calm,7.8%,Sp. Def,Attack,,,,,,
Polteageist,208,stat_alignment,6,Relaxed,6.4%,Defense,Speed,,,,,,
Polteageist,208,stat_alignment,7,Mild,4.9%,Sp. Atk,Defense,,,,,,
Polteageist,208,stat_alignment,8,Sassy,2.7%,Sp. Def,Speed,,,,,,
Polteageist,208,stat_alignment,9,Hasty,0.4%,Speed,Defense,,,,,,
Polteageist,208,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,
Polteageist,208,stat_points,1,,13.5%,,,0,0,0,32,2,32
Polteageist,208,stat_points,2,,10.8%,,,2,0,0,32,0,32
Polteageist,208,stat_points,3,,6.2%,,,0,0,2,32,0,32
Polteageist,208,stat_points,4,,6.2%,,,2,0,0,32,32,0
Polteageist,208,stat_points,5,,5.3%,,,32,0,32,0,2,0
Polteageist,208,stat_points,6,,3.0%,,,0,0,2,32,32,0
Polteageist,208,stat_points,7,,2.2%,,,24,0,24,0,0,18
Polteageist,208,stat_points,8,,1.9%,,,32,0,2,32,0,0
Polteageist,208,ability,1,Cursed Body,61.4%,,,,,,,,
Polteageist,208,ability,2,Weak Armor,38.6%,,,,,,,,
