pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Skeledirge,23,move,1,Torch Song,99.1%,,,,,,,,
Skeledirge,23,move,2,Slack Off,95.1%,,,,,,,,
Skeledirge,23,move,3,Will-O-Wisp,84.4%,,,,,,,,
Skeledirge,23,move,4,Shadow Ball,49.1%,,,,,,,,
Skeledirge,23,move,5,Hex,38.9%,,,,,,,,
Skeledirge,23,move,6,Yawn,12.1%,,,,,,,,
Skeledirge,23,move,7,Earth Power,4.6%,,,,,,,,
Skeledirge,23,move,8,Alluring Voice,3.7%,,,,,,,,
Skeledirge,23,move,9,Protect,2.4%,,,,,,,,
Skeledirge,23,move,10,Burn Up,2.3%,,,,,,,,
Skeledirge,23,held_item,1,Leftovers,46.8%,,,,,,,,
Skeledirge,23,held_item,2,Sitrus Berry,30.8%,,,,,,,,
Skeledirge,23,held_item,3,Kasib Berry,6.5%,,,,,,,,
Skeledirge,23,held_item,4,Shuca Berry,3.2%,,,,,,,,
Skeledirge,23,held_item,5,Lum Berry,1.5%,,,,,,,,
Skeledirge,23,held_item,6,Bright Powder,1.3%,,,,,,,,
Skeledirge,23,held_item,7,Quick Claw,1.2%,,,,,,,,
Skeledirge,23,held_item,8,Charcoal,0.8%,,,,,,,,
Skeledirge,23,held_item,9,Colbur Berry,0.5%,,,,,,,,
Skeledirge,23,held_item,10,Metronome,0.4%,,,,,,,,
Skeledirge,23,teammate,1,Garchomp,,,,,,,,,
Skeledirge,23,teammate,2,Meowscarada,,,,,,,,,
Skeledirge,23,teammate,3,Metagross,,,,,,,,,
Skeledirge,23,teammate,4,Staraptor,,,,,,,,,
Skeledirge,23,teammate,5,Corviknight,,,,,,,,,
Skeledirge,23,teammate,6,Raichu,,,,,,,,,
Skeledirge,23,teammate,7,Mimikyu,,,,,,,,,
Skeledirge,23,teammate,8,Ninetales-Alola,,,,,,,,,
Skeledirge,23,teammate,9,Hydreigon,,,,,,,,,
Skeledirge,23,teammate,10,Archaludon,,,,,,,,,
Skeledirge,23,stat_alignment,1,Bold,76.8%,Defense,Attack,,,,,,
Skeledirge,23,stat_alignment,2,Calm,10.8%,Sp. Def,Attack,,,,,,
Skeledirge,23,stat_alignment,3,Modest,8.7%,Sp. Atk,Attack,,,,,,
Skeledirge,23,stat_alignment,4,Relaxed,1.1%,Defense,Speed,,,,,,
Skeledirge,23,stat_alignment,5,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Skeledirge,23,stat_alignment,6,Timid,0.5%,Speed,Attack,,,,,,
Skeledirge,23,stat_alignment,7,Sassy,0.4%,Sp. Def,Speed,,,,,,
Skeledirge,23,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Skeledirge,23,stat_alignment,9,Mild,0.2%,Sp. Atk,Defense,,,,,,
Skeledirge,23,stat_alignment,10,Hasty,0.0%,Speed,Defense,,,,,,
Skeledirge,23,stat_points,1,,34.0%,,,32,0,32,0,2,0
Skeledirge,23,stat_points,2,,14.8%,,,32,0,32,2,0,0
Skeledirge,23,stat_points,3,,5.4%,,,32,0,32,0,0,2
Skeledirge,23,stat_points,4,,4.3%,,,32,0,2,0,32,0
Skeledirge,23,stat_points,5,,1.9%,,,32,0,32,0,0,0
Skeledirge,23,stat_points,6,,1.6%,,,32,0,2,32,0,0
Skeledirge,23,stat_points,7,,1.5%,,,32,0,0,32,2,0
Skeledirge,23,stat_points,8,,1.4%,,,32,0,20,0,14,0
Skeledirge,23,stat_points,9,,1.4%,,,32,0,30,0,4,0
Skeledirge,23,stat_points,10,,1.4%,,,32,0,9,0,25,0
Skeledirge,23,ability,1,Unaware,98.4%,,,,,,,,
Skeledirge,23,ability,2,Blaze,1.6%,,,,,,,,
