pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Barbaracle,188,move,1,Rock Slide,84.6%,,,,,,,,
Barbaracle,188,move,2,Protect,82.0%,,,,,,,,
Barbaracle,188,move,3,Close Combat,76.8%,,,,,,,,
Barbaracle,188,move,4,Shell Smash,71.6%,,,,,,,,
Barbaracle,188,move,5,Liquidation,23.8%,,,,,,,,
Barbaracle,188,move,6,Stone Edge,8.7%,,,,,,,,
Barbaracle,188,move,7,Aqua Cutter,7.0%,,,,,,,,
Barbaracle,188,move,8,Poison Jab,6.6%,,,,,,,,
Barbaracle,188,move,9,Brick Break,5.8%,,,,,,,,
Barbaracle,188,move,10,Cross Chop,5.6%,,,,,,,,
Barbaracle,188,held_item,1,Barbaracite,81.6%,,,,,,,,
Barbaracle,188,held_item,2,Scope Lens,3.2%,,,,,,,,
Barbaracle,188,held_item,3,Focus Sash,3.1%,,,,,,,,
Barbaracle,188,held_item,4,White Herb,2.5%,,,,,,,,
Barbaracle,188,held_item,5,Life Orb,1.4%,,,,,,,,
Barbaracle,188,held_item,6,Wide Lens,0.8%,,,,,,,,
Barbaracle,188,held_item,7,Sitrus Berry,0.6%,,,,,,,,
Barbaracle,188,held_item,8,Lum Berry,0.6%,,,,,,,,
Barbaracle,188,held_item,9,Quick Claw,0.5%,,,,,,,,
Barbaracle,188,held_item,10,Expert Belt,0.5%,,,,,,,,
Barbaracle,188,teammate,1,Sinistcha,,,,,,,,,
Barbaracle,188,teammate,2,Incineroar,,,,,,,,,
Barbaracle,188,teammate,3,Gholdengo,,,,,,,,,
Barbaracle,188,teammate,4,Weavile,,,,,,,,,
Barbaracle,188,teammate,5,Hisuian Zoroark,,,,,,,,,
Barbaracle,188,teammate,6,Farigiraf,,,,,,,,,
Barbaracle,188,teammate,7,Sneasler,,,,,,,,,
Barbaracle,188,teammate,8,Whimsicott,,,,,,,,,
Barbaracle,188,teammate,9,Kingambit,,,,,,,,,
Barbaracle,188,teammate,10,Basculegion Male,,,,,,,,,
Barbaracle,188,stat_alignment,1,Adamant,72.1%,Attack,Sp. Atk,,,,,,
Barbaracle,188,stat_alignment,2,Jolly,12.7%,Speed,Sp. Atk,,,,,,
Barbaracle,188,stat_alignment,3,Brave,10.2%,Attack,Speed,,,,,,
Barbaracle,188,stat_alignment,4,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Barbaracle,188,stat_alignment,5,Impish,0.9%,Defense,Sp. Atk,,,,,,
Barbaracle,188,stat_alignment,6,Lonely,0.5%,Attack,Defense,,,,,,
Barbaracle,188,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Barbaracle,188,stat_alignment,8,Naughty,0.4%,Attack,Sp. Def,,,,,,
Barbaracle,188,stat_alignment,9,Sassy,0.3%,Sp. Def,Speed,,,,,,
Barbaracle,188,stat_alignment,10,Hasty,0.3%,Speed,Defense,,,,,,
Barbaracle,188,stat_points,1,,27.7%,,,9,32,4,0,6,15
Barbaracle,188,stat_points,2,,13.5%,,,2,32,0,0,0,32
Barbaracle,188,stat_points,3,,6.2%,,,32,32,0,0,2,0
Barbaracle,188,stat_points,4,,6.0%,,,0,32,0,0,2,32
Barbaracle,188,stat_points,5,,2.9%,,,32,32,2,0,0,0
Barbaracle,188,stat_points,6,,1.6%,,,9,32,0,0,0,25
Barbaracle,188,stat_points,7,,1.5%,,,2,32,0,0,32,0
Barbaracle,188,stat_points,8,,1.4%,,,0,32,2,0,32,0
Barbaracle,188,ability,1,Tough Claws,66.0%,,,,,,,,
Barbaracle,188,ability,2,Sniper,31.6%,,,,,,,,
Barbaracle,188,ability,3,Pickpocket,2.4%,,,,,,,,
