pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kingambit,5,move,1,Kowtow Cleave,98.2%,,,,,,,,
Kingambit,5,move,2,Sucker Punch,97.3%,,,,,,,,
Kingambit,5,move,3,Iron Head,78.7%,,,,,,,,
Kingambit,5,move,4,Protect,54.6%,,,,,,,,
Kingambit,5,move,5,Low Kick,52.0%,,,,,,,,
Kingambit,5,move,6,Swords Dance,14.5%,,,,,,,,
Kingambit,5,move,7,Brick Break,2.2%,,,,,,,,
Kingambit,5,move,8,Assurance,0.5%,,,,,,,,
Kingambit,5,move,9,Low Sweep,0.4%,,,,,,,,
Kingambit,5,move,10,Guillotine,0.2%,,,,,,,,
Kingambit,5,held_item,1,Chople Berry,44.3%,,,,,,,,
Kingambit,5,held_item,2,Black Glasses,18.3%,,,,,,,,
Kingambit,5,held_item,3,Focus Sash,17.3%,,,,,,,,
Kingambit,5,held_item,4,Life Orb,14.5%,,,,,,,,
Kingambit,5,held_item,5,Occa Berry,3.1%,,,,,,,,
Kingambit,5,held_item,6,Sitrus Berry,0.5%,,,,,,,,
Kingambit,5,held_item,7,Expert Belt,0.4%,,,,,,,,
Kingambit,5,held_item,8,Leftovers,0.3%,,,,,,,,
Kingambit,5,held_item,9,Quick Claw,0.2%,,,,,,,,
Kingambit,5,held_item,10,Psychic Seed,0.1%,,,,,,,,
Kingambit,5,teammate,1,Sneasler,,,,,,,,,
Kingambit,5,teammate,2,Rillaboom,,,,,,,,,
Kingambit,5,teammate,3,Salamence,,,,,,,,,
Kingambit,5,teammate,4,Basculegion,,,,,,,,,
Kingambit,5,teammate,5,Indeedee-F,,,,,,,,,
Kingambit,5,teammate,6,Garchomp,,,,,,,,,
Kingambit,5,teammate,7,Incineroar,,,,,,,,,
Kingambit,5,teammate,8,Charizard,,,,,,,,,
Kingambit,5,teammate,9,Farigiraf,,,,,,,,,
Kingambit,5,teammate,10,Arcanine-Hisui,,,,,,,,,
Kingambit,5,stat_alignment,1,Adamant,82.0%,Attack,Sp. Atk,,,,,,
Kingambit,5,stat_alignment,2,Brave,15.7%,Attack,Speed,,,,,,
Kingambit,5,stat_alignment,3,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Kingambit,5,stat_alignment,4,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Kingambit,5,stat_alignment,5,Impish,0.4%,Defense,Sp. Atk,,,,,,
Kingambit,5,stat_alignment,6,Relaxed,0.2%,Defense,Speed,,,,,,
Kingambit,5,stat_alignment,7,Naughty,0.2%,Attack,Sp. Def,,,,,,
Kingambit,5,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Kingambit,5,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Kingambit,5,stat_alignment,10,Lax,0.0%,Defense,Sp. Def,,,,,,
Kingambit,5,stat_points,1,,19.6%,,,32,32,0,0,2,0
Kingambit,5,stat_points,2,,8.3%,,,32,32,2,0,0,0
Kingambit,5,stat_points,3,,6.6%,,,2,32,0,0,0,32
Kingambit,5,stat_points,4,,6.4%,,,32,25,2,0,6,1
Kingambit,5,stat_points,5,,5.4%,,,32,32,0,0,0,2
Kingambit,5,stat_points,6,,4.0%,,,32,32,0,0,1,1
Kingambit,5,stat_points,7,,2.8%,,,32,15,0,0,19,0
Kingambit,5,stat_points,8,,2.1%,,,0,32,0,0,2,32
Kingambit,5,stat_points,9,,1.6%,,,0,32,2,0,0,32
Kingambit,5,stat_points,10,,1.4%,,,32,32,1,0,1,0
Kingambit,5,ability,1,Defiant,96.9%,,,,,,,,
Kingambit,5,ability,2,Supreme Overlord,3.0%,,,,,,,,
Kingambit,5,ability,3,Pressure,0.1%,,,,,,,,
