pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Klefki,100,move,1,Light Screen,63.9%,,,,,,,,
Klefki,100,move,2,Reflect,58.3%,,,,,,,,
Klefki,100,move,3,Dazzling Gleam,46.2%,,,,,,,,
Klefki,100,move,4,Thunder Wave,43.0%,,,,,,,,
Klefki,100,move,5,Rain Dance,38.9%,,,,,,,,
Klefki,100,move,6,Trick Room,35.9%,,,,,,,,
Klefki,100,move,7,Foul Play,18.5%,,,,,,,,
Klefki,100,move,8,Protect,11.5%,,,,,,,,
Klefki,100,move,9,Sandstorm,11.4%,,,,,,,,
Klefki,100,move,10,Flash Cannon,10.5%,,,,,,,,
Klefki,100,held_item,1,Mental Herb,21.5%,,,,,,,,
Klefki,100,held_item,2,Sitrus Berry,18.5%,,,,,,,,
Klefki,100,held_item,3,Leftovers,16.6%,,,,,,,,
Klefki,100,held_item,4,Occa Berry,11.7%,,,,,,,,
Klefki,100,held_item,5,Focus Sash,8.6%,,,,,,,,
Klefki,100,held_item,6,Shuca Berry,8.2%,,,,,,,,
Klefki,100,held_item,7,Bright Powder,5.0%,,,,,,,,
Klefki,100,held_item,8,Fairy Feather,2.9%,,,,,,,,
Klefki,100,held_item,9,Lum Berry,1.4%,,,,,,,,
Klefki,100,held_item,10,Choice Scarf,1.0%,,,,,,,,
Klefki,100,teammate,1,Archaludon,,,,,,,,,
Klefki,100,teammate,2,Sinistcha,,,,,,,,,
Klefki,100,teammate,3,Incineroar,,,,,,,,,
Klefki,100,teammate,4,Garchomp,,,,,,,,,
Klefki,100,teammate,5,Tyranitar,,,,,,,,,
Klefki,100,teammate,6,Pelipper,,,,,,,,,
Klefki,100,teammate,7,Basculegion,,,,,,,,,
Klefki,100,teammate,8,Sneasler,,,,,,,,,
Klefki,100,teammate,9,Milotic,,,,,,,,,
Klefki,100,teammate,10,Dragonite,,,,,,,,,
Klefki,100,stat_alignment,1,Bold,37.3%,Defense,Attack,,,,,,
Klefki,100,stat_alignment,2,Calm,27.2%,Sp. Def,Attack,,,,,,
Klefki,100,stat_alignment,3,Modest,11.0%,Sp. Atk,Attack,,,,,,
Klefki,100,stat_alignment,4,Sassy,6.4%,Sp. Def,Speed,,,,,,
Klefki,100,stat_alignment,5,Relaxed,6.2%,Defense,Speed,,,,,,
Klefki,100,stat_alignment,6,Quiet,3.6%,Sp. Atk,Speed,,,,,,
Klefki,100,stat_alignment,7,Impish,2.6%,Defense,Sp. Atk,,,,,,
Klefki,100,stat_alignment,8,Timid,2.2%,Speed,Attack,,,,,,
Klefki,100,stat_alignment,9,Careful,2.0%,Sp. Def,Sp. Atk,,,,,,
Klefki,100,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Klefki,100,stat_points,1,,11.0%,,,32,0,32,0,2,0
Klefki,100,stat_points,2,,8.5%,,,32,0,2,0,32,0
Klefki,100,stat_points,3,,5.7%,,,2,0,32,0,32,0
Klefki,100,stat_points,4,,4.3%,,,32,0,21,0,13,0
Klefki,100,stat_points,5,,4.0%,,,32,0,9,0,25,0
Klefki,100,stat_points,6,,3.9%,,,32,0,14,0,20,0
Klefki,100,stat_points,7,,3.1%,,,32,0,19,0,15,0
Klefki,100,stat_points,8,,2.9%,,,32,0,11,0,23,0
Klefki,100,stat_points,9,,2.3%,,,32,0,17,0,17,0
Klefki,100,stat_points,10,,2.3%,,,32,0,0,32,2,0
Klefki,100,ability,1,Prankster,99.4%,,,,,,,,
Klefki,100,ability,2,Magician,0.6%,,,,,,,,
