pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vivillon-Fancy,117,move,1,Sleep Powder,99.4%,,,,,,,,
Vivillon-Fancy,117,move,2,Quiver Dance,96.9%,,,,,,,,
Vivillon-Fancy,117,move,3,Hurricane,96.0%,,,,,,,,
Vivillon-Fancy,117,move,4,Substitute,85.6%,,,,,,,,
Vivillon-Fancy,117,move,5,Bug Buzz,8.1%,,,,,,,,
Vivillon-Fancy,117,move,6,Giga Drain,3.0%,,,,,,,,
Vivillon-Fancy,117,move,7,Tailwind,1.6%,,,,,,,,
Vivillon-Fancy,117,move,8,Air Slash,1.6%,,,,,,,,
Vivillon-Fancy,117,move,9,Draining Kiss,1.3%,,,,,,,,
Vivillon-Fancy,117,move,10,U-turn,0.9%,,,,,,,,
Vivillon-Fancy,117,held_item,1,Leftovers,79.0%,,,,,,,,
Vivillon-Fancy,117,held_item,2,Focus Sash,14.3%,,,,,,,,
Vivillon-Fancy,117,held_item,3,Wide Lens,1.7%,,,,,,,,
Vivillon-Fancy,117,held_item,4,Sitrus Berry,1.4%,,,,,,,,
Vivillon-Fancy,117,held_item,5,Bright Powder,0.7%,,,,,,,,
Vivillon-Fancy,117,held_item,6,Quick Claw,0.7%,,,,,,,,
Vivillon-Fancy,117,held_item,7,Sharp Beak,0.3%,,,,,,,,
Vivillon-Fancy,117,held_item,8,Life Orb,0.3%,,,,,,,,
Vivillon-Fancy,117,held_item,9,Mental Herb,0.3%,,,,,,,,
Vivillon-Fancy,117,held_item,10,Choice Scarf,0.2%,,,,,,,,
Vivillon-Fancy,117,teammate,1,Golisopod,,,,,,,,,
Vivillon-Fancy,117,teammate,2,Garchomp,,,,,,,,,
Vivillon-Fancy,117,teammate,3,Salamence,,,,,,,,,
Vivillon-Fancy,117,teammate,4,Archaludon,,,,,,,,,
Vivillon-Fancy,117,teammate,5,Basculegion,,,,,,,,,
Vivillon-Fancy,117,teammate,6,Volcarona,,,,,,,,,
Vivillon-Fancy,117,teammate,7,Araquanid,,,,,,,,,
Vivillon-Fancy,117,teammate,8,Kleavor,,,,,,,,,
Vivillon-Fancy,117,teammate,9,Mimikyu,,,,,,,,,
Vivillon-Fancy,117,teammate,10,Baxcalibur,,,,,,,,,
Vivillon-Fancy,117,stat_alignment,1,Timid,94.0%,Speed,Attack,,,,,,
Vivillon-Fancy,117,stat_alignment,2,Modest,2.5%,Sp. Atk,Attack,,,,,,
Vivillon-Fancy,117,stat_alignment,3,Hasty,1.0%,Speed,Defense,,,,,,
Vivillon-Fancy,117,stat_alignment,4,Bold,0.6%,Defense,Attack,,,,,,
Vivillon-Fancy,117,stat_alignment,5,Mild,0.4%,Sp. Atk,Defense,,,,,,
Vivillon-Fancy,117,stat_alignment,6,Docile,0.4%,,,,,,,,
Vivillon-Fancy,117,stat_alignment,7,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Vivillon-Fancy,117,stat_alignment,8,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Vivillon-Fancy,117,stat_alignment,9,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Vivillon-Fancy,117,stat_alignment,10,Calm,0.1%,Sp. Def,Attack,,,,,,
Vivillon-Fancy,117,stat_points,1,,42.2%,,,2,0,0,32,0,32
Vivillon-Fancy,117,stat_points,2,,17.7%,,,6,0,0,28,0,32
Vivillon-Fancy,117,stat_points,3,,9.2%,,,6,0,28,0,0,32
Vivillon-Fancy,117,stat_points,4,,3.7%,,,32,0,0,2,0,32
Vivillon-Fancy,117,stat_points,5,,3.4%,,,0,0,0,32,2,32
Vivillon-Fancy,117,stat_points,6,,2.6%,,,0,0,2,32,0,32
Vivillon-Fancy,117,stat_points,7,,1.4%,,,0,0,0,32,0,32
Vivillon-Fancy,117,stat_points,8,,1.3%,,,32,0,2,0,0,32
Vivillon-Fancy,117,stat_points,9,,1.2%,,,18,0,0,16,0,32
Vivillon-Fancy,117,stat_points,10,,1.2%,,,0,0,1,32,1,32
Vivillon-Fancy,117,ability,1,Compound Eyes,99.6%,,,,,,,,
Vivillon-Fancy,117,ability,2,Shield Dust,0.3%,,,,,,,,
Vivillon-Fancy,117,ability,3,Friend Guard,0.2%,,,,,,,,
