pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Glalie,137,move,1,Protect,76.8%,,,,,,,,
Glalie,137,move,2,Explosion,59.2%,,,,,,,,
Glalie,137,move,3,Sheer Cold,47.0%,,,,,,,,
Glalie,137,move,4,Substitute,43.7%,,,,,,,,
Glalie,137,move,5,Freeze-Dry,37.4%,,,,,,,,
Glalie,137,move,6,Earthquake,37.1%,,,,,,,,
Glalie,137,move,7,Ice Shard,30.3%,,,,,,,,
Glalie,137,move,8,Trailblaze,15.0%,,,,,,,,
Glalie,137,move,9,Body Slam,14.9%,,,,,,,,
Glalie,137,move,10,Taunt,5.4%,,,,,,,,
Glalie,137,held_item,1,Glalitite,58.5%,,,,,,,,
Glalie,137,held_item,2,Leftovers,33.4%,,,,,,,,
Glalie,137,held_item,3,Focus Sash,1.4%,,,,,,,,
Glalie,137,held_item,4,Silk Scarf,1.1%,,,,,,,,
Glalie,137,held_item,5,Bright Powder,1.1%,,,,,,,,
Glalie,137,held_item,6,Sitrus Berry,0.8%,,,,,,,,
Glalie,137,held_item,7,Choice Scarf,0.5%,,,,,,,,
Glalie,137,held_item,8,Chesto Berry,0.3%,,,,,,,,
Glalie,137,held_item,9,Life Orb,0.2%,,,,,,,,
Glalie,137,held_item,10,Normal Gem,0.1%,,,,,,,,
Glalie,137,teammate,1,Pawmot,,,,,,,,,
Glalie,137,teammate,2,Basculegion,,,,,,,,,
Glalie,137,teammate,3,Kingambit,,,,,,,,,
Glalie,137,teammate,4,Victreebel,,,,,,,,,
Glalie,137,teammate,5,Banette,,,,,,,,,
Glalie,137,teammate,6,Salamence,,,,,,,,,
Glalie,137,teammate,7,Garchomp,,,,,,,,,
Glalie,137,teammate,8,Snorlax,,,,,,,,,
Glalie,137,teammate,9,Golisopod,,,,,,,,,
Glalie,137,teammate,10,Gengar,,,,,,,,,
Glalie,137,stat_alignment,1,Jolly,34.8%,Speed,Sp. Atk,,,,,,
Glalie,137,stat_alignment,2,Adamant,24.3%,Attack,Sp. Atk,,,,,,
Glalie,137,stat_alignment,3,Timid,22.3%,Speed,Attack,,,,,,
Glalie,137,stat_alignment,4,Bold,8.2%,Defense,Attack,,,,,,
Glalie,137,stat_alignment,5,Modest,2.3%,Sp. Atk,Attack,,,,,,
Glalie,137,stat_alignment,6,Calm,1.7%,Sp. Def,Attack,,,,,,
Glalie,137,stat_alignment,7,Naive,1.5%,Speed,Sp. Def,,,,,,
Glalie,137,stat_alignment,8,Impish,0.8%,Defense,Sp. Atk,,,,,,
Glalie,137,stat_alignment,9,Hasty,0.8%,Speed,Defense,,,,,,
Glalie,137,stat_alignment,10,Serious,0.8%,,,,,,,,
Glalie,137,stat_points,1,,41.5%,,,2,32,0,0,0,32
Glalie,137,stat_points,2,,4.4%,,,24,0,5,0,5,32
Glalie,137,stat_points,3,,3.4%,,,32,0,2,0,0,32
Glalie,137,stat_points,4,,3.3%,,,22,0,24,0,0,20
Glalie,137,stat_points,5,,2.5%,,,32,32,0,0,0,2
Glalie,137,stat_points,6,,2.4%,,,0,32,0,0,0,32
Glalie,137,stat_points,7,,2.1%,,,32,0,0,2,0,32
Glalie,137,stat_points,8,,2.0%,,,2,0,0,32,0,32
Glalie,137,stat_points,9,,1.9%,,,32,0,1,0,1,32
Glalie,137,stat_points,10,,1.5%,,,0,32,2,0,0,32
Glalie,137,ability,1,Moody,81.2%,,,,,,,,
Glalie,137,ability,2,Inner Focus,17.7%,,,,,,,,
Glalie,137,ability,3,Ice Body,1.1%,,,,,,,,
