pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toucannon,112,move,1,Beak Blast,99.6%,,,,,,,,
Toucannon,112,move,2,Bullet Seed,78.3%,,,,,,,,
Toucannon,112,move,3,Rock Blast,74.3%,,,,,,,,
Toucannon,112,move,4,Encore,52.1%,,,,,,,,
Toucannon,112,move,5,Roost,37.5%,,,,,,,,
Toucannon,112,move,6,U-turn,13.3%,,,,,,,,
Toucannon,112,move,7,Knock Off,10.2%,,,,,,,,
Toucannon,112,move,8,Temper Flare,5.2%,,,,,,,,
Toucannon,112,move,9,Swords Dance,3.9%,,,,,,,,
Toucannon,112,move,10,Tailwind,3.4%,,,,,,,,
Toucannon,112,held_item,1,Sitrus Berry,40.6%,,,,,,,,
Toucannon,112,held_item,2,Rocky Helmet,13.1%,,,,,,,,
Toucannon,112,held_item,3,Focus Sash,11.1%,,,,,,,,
Toucannon,112,held_item,4,Life Orb,6.8%,,,,,,,,
Toucannon,112,held_item,5,Lum Berry,5.5%,,,,,,,,
Toucannon,112,held_item,6,Sharp Beak,5.3%,,,,,,,,
Toucannon,112,held_item,7,Leftovers,4.9%,,,,,,,,
Toucannon,112,held_item,8,King's Rock,3.8%,,,,,,,,
Toucannon,112,held_item,9,Expert Belt,2.3%,,,,,,,,
Toucannon,112,held_item,10,Red Card,2.1%,,,,,,,,
Toucannon,112,teammate,1,Garchomp,,,,,,,,,
Toucannon,112,teammate,2,Golisopod,,,,,,,,,
Toucannon,112,teammate,3,Primarina,,,,,,,,,
Toucannon,112,teammate,4,Baxcalibur,,,,,,,,,
Toucannon,112,teammate,5,Lucario,,,,,,,,,
Toucannon,112,teammate,6,Salamence,,,,,,,,,
Toucannon,112,teammate,7,Raichu,,,,,,,,,
Toucannon,112,teammate,8,Archaludon,,,,,,,,,
Toucannon,112,teammate,9,Gholdengo,,,,,,,,,
Toucannon,112,teammate,10,Rillaboom,,,,,,,,,
Toucannon,112,stat_alignment,1,Adamant,63.9%,Attack,Sp. Atk,,,,,,
Toucannon,112,stat_alignment,2,Impish,25.8%,Defense,Sp. Atk,,,,,,
Toucannon,112,stat_alignment,3,Jolly,2.3%,Speed,Sp. Atk,,,,,,
Toucannon,112,stat_alignment,4,Brave,2.2%,Attack,Speed,,,,,,
Toucannon,112,stat_alignment,5,Careful,2.0%,Sp. Def,Sp. Atk,,,,,,
Toucannon,112,stat_alignment,6,Relaxed,1.9%,Defense,Speed,,,,,,
Toucannon,112,stat_alignment,7,Naughty,0.5%,Attack,Sp. Def,,,,,,
Toucannon,112,stat_alignment,8,Lonely,0.3%,Attack,Defense,,,,,,
Toucannon,112,stat_alignment,9,Sassy,0.2%,Sp. Def,Speed,,,,,,
Toucannon,112,stat_alignment,10,Bold,0.2%,Defense,Attack,,,,,,
Toucannon,112,stat_points,1,,15.9%,,,32,2,32,0,0,0
Toucannon,112,stat_points,2,,7.0%,,,32,32,0,0,0,2
Toucannon,112,stat_points,3,,5.6%,,,32,32,2,0,0,0
Toucannon,112,stat_points,4,,5.2%,,,32,6,25,0,0,3
Toucannon,112,stat_points,5,,4.6%,,,2,32,0,0,0,32
Toucannon,112,stat_points,6,,3.9%,,,32,0,32,0,0,2
Toucannon,112,stat_points,7,,3.8%,,,32,0,32,0,2,0
Toucannon,112,stat_points,8,,2.7%,,,32,32,0,0,2,0
Toucannon,112,stat_points,9,,2.0%,,,20,32,0,0,0,14
Toucannon,112,stat_points,10,,1.4%,,,2,32,32,0,0,0
Toucannon,112,ability,1,Skill Link,90.4%,,,,,,,,
Toucannon,112,ability,2,Keen Eye,5.6%,,,,,,,,
Toucannon,112,ability,3,Sheer Force,4.1%,,,,,,,,
