pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Chesnaught,142,move,1,Spiky Shield,75.6%,,,,,,,,
Chesnaught,142,move,2,Drain Punch,50.6%,,,,,,,,
Chesnaught,142,move,3,Body Press,42.6%,,,,,,,,
Chesnaught,142,move,4,Wood Hammer,42.0%,,,,,,,,
Chesnaught,142,move,5,Grassy Glide,40.7%,,,,,,,,
Chesnaught,142,move,6,Belly Drum,36.8%,,,,,,,,
Chesnaught,142,move,7,Wide Guard,34.2%,,,,,,,,
Chesnaught,142,move,8,Iron Defense,19.0%,,,,,,,,
Chesnaught,142,move,9,Leech Seed,8.7%,,,,,,,,
Chesnaught,142,move,10,Rock Slide,6.6%,,,,,,,,
Chesnaught,142,held_item,1,Chesnaughtite,84.7%,,,,,,,,
Chesnaught,142,held_item,2,Sitrus Berry,4.9%,,,,,,,,
Chesnaught,142,held_item,3,Leftovers,2.7%,,,,,,,,
Chesnaught,142,held_item,4,Psychic Seed,1.3%,,,,,,,,
Chesnaught,142,held_item,5,Rocky Helmet,1.2%,,,,,,,,
Chesnaught,142,held_item,6,Focus Sash,0.9%,,,,,,,,
Chesnaught,142,held_item,7,Grassy Seed,0.9%,,,,,,,,
Chesnaught,142,held_item,8,Payapa Berry,0.8%,,,,,,,,
Chesnaught,142,held_item,9,Coba Berry,0.6%,,,,,,,,
Chesnaught,142,held_item,10,Life Orb,0.5%,,,,,,,,
Chesnaught,142,teammate,1,Rillaboom,,,,,,,,,
Chesnaught,142,teammate,2,Indeedee-F,,,,,,,,,
Chesnaught,142,teammate,3,Incineroar,,,,,,,,,
Chesnaught,142,teammate,4,Farigiraf,,,,,,,,,
Chesnaught,142,teammate,5,Torkoal,,,,,,,,,
Chesnaught,142,teammate,6,Kingambit,,,,,,,,,
Chesnaught,142,teammate,7,Pelipper,,,,,,,,,
Chesnaught,142,teammate,8,Sneasler,,,,,,,,,
Chesnaught,142,teammate,9,Armarouge,,,,,,,,,
Chesnaught,142,teammate,10,Archaludon,,,,,,,,,
Chesnaught,142,stat_alignment,1,Adamant,31.6%,Attack,Sp. Atk,,,,,,
Chesnaught,142,stat_alignment,2,Relaxed,19.9%,Defense,Speed,,,,,,
Chesnaught,142,stat_alignment,3,Impish,18.1%,Defense,Sp. Atk,,,,,,
Chesnaught,142,stat_alignment,4,Brave,13.2%,Attack,Speed,,,,,,
Chesnaught,142,stat_alignment,5,Careful,8.2%,Sp. Def,Sp. Atk,,,,,,
Chesnaught,142,stat_alignment,6,Sassy,6.7%,Sp. Def,Speed,,,,,,
Chesnaught,142,stat_alignment,7,Jolly,1.4%,Speed,Sp. Atk,,,,,,
Chesnaught,142,stat_alignment,8,Bold,0.9%,Defense,Attack,,,,,,
Chesnaught,142,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Chesnaught,142,stat_alignment,10,Naive,0.0%,Speed,Sp. Def,,,,,,
Chesnaught,142,stat_points,1,,12.2%,,,32,0,8,0,26,0
Chesnaught,142,stat_points,2,,9.7%,,,32,32,0,0,2,0
Chesnaught,142,stat_points,3,,6.2%,,,32,0,32,0,2,0
Chesnaught,142,stat_points,4,,3.8%,,,32,32,2,0,0,0
Chesnaught,142,stat_points,5,,2.9%,,,32,0,2,0,32,0
Chesnaught,142,stat_points,6,,2.9%,,,32,13,0,0,21,0
Chesnaught,142,stat_points,7,,2.8%,,,32,2,0,0,32,0
Chesnaught,142,stat_points,8,,2.0%,,,32,2,32,0,0,0
Chesnaught,142,stat_points,9,,1.9%,,,29,32,5,0,0,0
Chesnaught,142,stat_points,10,,1.7%,,,2,0,32,0,32,0
Chesnaught,142,ability,1,Bulletproof,92.1%,,,,,,,,
Chesnaught,142,ability,2,Overgrow,7.9%,,,,,,,,
