pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc-Midnight,235,move,1,Rock Slide,72.1%,,,,,,,,
Lycanroc-Midnight,235,move,2,Close Combat,54.2%,,,,,,,,
Lycanroc-Midnight,235,move,3,Stone Edge,49.3%,,,,,,,,
Lycanroc-Midnight,235,move,4,Iron Tail,42.4%,,,,,,,,
Lycanroc-Midnight,235,move,5,Protect,29.7%,,,,,,,,
Lycanroc-Midnight,235,move,6,Sucker Punch,26.4%,,,,,,,,
Lycanroc-Midnight,235,move,7,Play Rough,25.1%,,,,,,,,
Lycanroc-Midnight,235,move,8,Psychic Fangs,19.5%,,,,,,,,
Lycanroc-Midnight,235,move,9,Knock Off,10.4%,,,,,,,,
Lycanroc-Midnight,235,move,10,Low Sweep,7.8%,,,,,,,,
Lycanroc-Midnight,235,held_item,1,Choice Scarf,47.1%,,,,,,,,
Lycanroc-Midnight,235,held_item,2,Focus Sash,18.7%,,,,,,,,
Lycanroc-Midnight,235,held_item,3,Life Orb,13.2%,,,,,,,,
Lycanroc-Midnight,235,held_item,4,Hard Stone,8.2%,,,,,,,,
Lycanroc-Midnight,235,held_item,5,Shell Bell,5.7%,,,,,,,,
Lycanroc-Midnight,235,held_item,6,Chople Berry,3.0%,,,,,,,,
Lycanroc-Midnight,235,held_item,7,Expert Belt,1.9%,,,,,,,,
Lycanroc-Midnight,235,held_item,8,Air Balloon,1.3%,,,,,,,,
Lycanroc-Midnight,235,held_item,9,Bright Powder,0.6%,,,,,,,,
Lycanroc-Midnight,235,held_item,10,Quick Claw,0.3%,,,,,,,,
Lycanroc-Midnight,235,teammate,1,Rillaboom,,,,,,,,,
Lycanroc-Midnight,235,teammate,2,Golisopod,,,,,,,,,
Lycanroc-Midnight,235,teammate,3,Farigiraf,,,,,,,,,
Lycanroc-Midnight,235,teammate,4,Sneasler,,,,,,,,,
Lycanroc-Midnight,235,teammate,5,Froslass,,,,,,,,,
Lycanroc-Midnight,235,teammate,6,Salamence,,,,,,,,,
Lycanroc-Midnight,235,teammate,7,Torkoal,,,,,,,,,
Lycanroc-Midnight,235,teammate,8,Zoroark-Hisui,,,,,,,,,
Lycanroc-Midnight,235,teammate,9,Incineroar,,,,,,,,,
Lycanroc-Midnight,235,teammate,10,Whimsicott,,,,,,,,,
Lycanroc-Midnight,235,stat_alignment,1,Jolly,33.1%,Speed,Sp. Atk,,,,,,
Lycanroc-Midnight,235,stat_alignment,2,Adamant,27.3%,Attack,Sp. Atk,,,,,,
Lycanroc-Midnight,235,stat_alignment,3,Brave,23.2%,Attack,Speed,,,,,,
Lycanroc-Midnight,235,stat_alignment,4,Naughty,7.4%,Attack,Sp. Def,,,,,,
Lycanroc-Midnight,235,stat_alignment,5,Hasty,5.3%,Speed,Defense,,,,,,
Lycanroc-Midnight,235,stat_alignment,6,Mild,3.6%,Sp. Atk,Defense,,,,,,
Lycanroc-Midnight,235,stat_points,1,,16.6%,,,2,32,0,0,0,32
Lycanroc-Midnight,235,stat_points,2,,13.0%,,,0,32,2,0,0,32
Lycanroc-Midnight,235,stat_points,3,,13.0%,,,6,32,0,0,0,28
Lycanroc-Midnight,235,stat_points,4,,10.8%,,,32,32,2,0,0,0
Lycanroc-Midnight,235,stat_points,5,,7.4%,,,32,32,0,0,0,2
Lycanroc-Midnight,235,stat_points,6,,6.9%,,,2,32,14,0,18,0
Lycanroc-Midnight,235,stat_points,7,,5.8%,,,32,32,1,0,1,0
Lycanroc-Midnight,235,stat_points,8,,4.9%,,,1,32,0,0,0,32
Lycanroc-Midnight,235,stat_points,9,,3.6%,,,0,32,0,0,2,32
Lycanroc-Midnight,235,stat_points,10,,3.6%,,,8,32,0,0,14,11
Lycanroc-Midnight,235,ability,1,No Guard,87.9%,,,,,,,,
Lycanroc-Midnight,235,ability,2,Keen Eye,7.4%,,,,,,,,
Lycanroc-Midnight,235,ability,3,Vital Spirit,4.7%,,,,,,,,
